#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abhordan;Abhordan;Abhordan;Abhordan;;Abhordan;;;;;;;;;x
b_abhordan_adj;Abhordanian;;abhordaner;;;;;;;;;;;x
b_abhordan_2;Abhordan;Abhordan;Abhordan;;Abhordan;;;;;;;;;x
b_abhordan_2_adj;Abhordanian;;abhordaner;;;;;;;;;;;x
b_aburohn;Aburohn;Aburohn;Aburohn;;Aburohn;;;;;;;;;x
b_aburohn_adj;Aburohnian;;aburohner;;;;;;;;;;;x
b_aburohn_2;Aburohn;Aburohn;Aburohn;;Aburohn;;;;;;;;;x
b_aburohn_2_adj;Aburohnian;;aburohner;;;;;;;;;;;x
b_achotos;Achotos;Achotos;Achotos;;Achotos;;;;;;;;;x
b_achotos_adj;Achotosian;;achotoser;;;;;;;;;;;x
b_achotos_2;Achotos;Achotos;Achotos;;Achotos;;;;;;;;;x
b_achotos_2_adj;Achotosian;;achotoser;;;;;;;;;;;x
b_acotoedl;Acotoedl;Acotoedl;Acotoedl;;Acotoedl;;;;;;;;;x
b_acotoedl_adj;Acotoedlian;;acotoedler;;;;;;;;;;;x
b_acotoedl_2;Acotoedl;Acotoedl;Acotoedl;;Acotoedl;;;;;;;;;x
b_acotoedl_2_adj;Acotoedlian;;acotoedler;;;;;;;;;;;x
b_adyekohn;Adyekohn;Adyekohn;Adyekohn;;Adyekohn;;;;;;;;;x
b_adyekohn_adj;Adyekohnian;;adyekohner;;;;;;;;;;;x
b_adyekohn_2;Adyekohn;Adyekohn;Adyekohn;;Adyekohn;;;;;;;;;x
b_adyekohn_2_adj;Adyekohnian;;adyekohner;;;;;;;;;;;x
b_aelbank;Aelbank;Aelbank;Aelbank;;Aelbank;;;;;;;;;x
b_aelbank_adj;Aelbankian;;aelbanker;;;;;;;;;;;x
b_aelbarrow;Aelbarrow;Aelbarrow;Aelbarrow;;Aelbarrow;;;;;;;;;x
b_aelbarrow_adj;Aelbarrowian;;aelbarrower;;;;;;;;;;;x
b_aelcastle;Aelcastle;Aelcastle;Aelcastle;;Aelcastle;;;;;;;;;x
b_aelcastle_adj;Aelcastlean;;aelcastler;;;;;;;;;;;x
b_aellyn;Aellyn;Aellyn;Aellyn;;Aellyn;;;;;;;;;x
b_aellyn_adj;Aellynian;;aellyner;;;;;;;;;;;x
b_aelmead;Aelmead;Aelmead;Aelmead;;Aelmead;;;;;;;;;x
b_aelmead_adj;Aelmeadian;;aelmeader;;;;;;;;;;;x
b_aelmount;Aelmount;Aelmount;Aelmount;;Aelmount;;;;;;;;;x
b_aelmount_adj;Aelmountian;;aelmounter;;;;;;;;;;;x
b_aelwick;Aelwick;Aelwick;Aelwick;;Aelwick;;;;;;;;;x
b_aelwick_adj;Aelwickian;;aelwicker;;;;;;;;;;;x
b_aepaka;Aepaka;Aepaka;Aepaka;;Aepaka;;;;;;;;;x
b_aepaka_adj;Aepakan;;aepaker;;;;;;;;;;;x
b_aepaka_2;Aepaka;Aepaka;Aepaka;;Aepaka;;;;;;;;;x
b_aepaka_2_adj;Aepakan;;aepaker;;;;;;;;;;;x
b_afabyan;Afabyan;Afabyan;Afabyan;;Afabyan;;;;;;;;;x
b_afabyan_adj;Afabyanian;;afabyaner;;;;;;;;;;;x
b_afabyan_2;Afabyan;Afabyan;Afabyan;;Afabyan;;;;;;;;;x
b_afabyan_2_adj;Afabyanian;;afabyaner;;;;;;;;;;;x
b_afoliel;Afoliel;Afoliel;Afoliel;;Afoliel;;;;;;;;;x
b_afoliel_adj;Afolielian;;afolieler;;;;;;;;;;;x
b_afoliel_2;Afoliel;Afoliel;Afoliel;;Afoliel;;;;;;;;;x
b_afoliel_2_adj;Afolielian;;afolieler;;;;;;;;;;;x
b_agenella;Agenella;Agenella;Agenella;;Agenella;;;;;;;;;x
b_agenella_adj;Agenellan;;ageneller;;;;;;;;;;;x
b_agenella_2;Agenella;Agenella;Agenella;;Agenella;;;;;;;;;x
b_agenella_2_adj;Agenellan;;ageneller;;;;;;;;;;;x
b_agilihal;Agilihal;Agilihal;Agilihal;;Agilihal;;;;;;;;;x
b_agilihal_adj;Agilihalian;;agilihaler;;;;;;;;;;;x
b_agilihal_2;Agilihal;Agilihal;Agilihal;;Agilihal;;;;;;;;;x
b_agilihal_2_adj;Agilihalian;;agilihaler;;;;;;;;;;;x
b_agodibel;Agodibel;Agodibel;Agodibel;;Agodibel;;;;;;;;;x
b_agodibel_adj;Agodibelian;;agodibeler;;;;;;;;;;;x
b_agodibel_2;Agodibel;Agodibel;Agodibel;;Agodibel;;;;;;;;;x
b_agodibel_2_adj;Agodibelian;;agodibeler;;;;;;;;;;;x
b_ahlenda;Ahlenda;Ahlenda;Ahlenda;;Ahlenda;;;;;;;;;x
b_ahlenda_adj;Ahlendan;;ahlender;;;;;;;;;;;x
b_ahlenda_2;Ahlenda;Ahlenda;Ahlenda;;Ahlenda;;;;;;;;;x
b_ahlenda_2_adj;Ahlendan;;ahlender;;;;;;;;;;;x
b_ajaipaka;Ajaipaka;Ajaipaka;Ajaipaka;;Ajaipaka;;;;;;;;;x
b_ajaipaka_adj;Ajaipakan;;ajaipaker;;;;;;;;;;;x
b_ajaipaka_2;Ajaipaka;Ajaipaka;Ajaipaka;;Ajaipaka;;;;;;;;;x
b_ajaipaka_2_adj;Ajaipakan;;ajaipaker;;;;;;;;;;;x
b_ajoherd;Ajoherd;Ajoherd;Ajoherd;;Ajoherd;;;;;;;;;x
b_ajoherd_adj;Ajoherdian;;ajoherder;;;;;;;;;;;x
