#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abhordan;Abhordan;Abhordan;Abhordan;;Abhordan;;;;;;;;;x
c_abhordan_adj;Abhordanian;;abhordaner;;;;;;;;;;;x
c_aburohn;Aburohn;Aburohn;Aburohn;;Aburohn;;;;;;;;;x
c_aburohn_adj;Aburohnian;;aburohner;;;;;;;;;;;x
c_achotos;Achotos;Achotos;Achotos;;Achotos;;;;;;;;;x
c_achotos_adj;Achotosian;;achotoser;;;;;;;;;;;x
c_acotoedl;Acotoedl;Acotoedl;Acotoedl;;Acotoedl;;;;;;;;;x
c_acotoedl_adj;Acotoedlian;;acotoedler;;;;;;;;;;;x
c_adyekohn;Adyekohn;Adyekohn;Adyekohn;;Adyekohn;;;;;;;;;x
c_adyekohn_adj;Adyekohnian;;adyekohner;;;;;;;;;;;x
c_aepaka;Aepaka;Aepaka;Aepaka;;Aepaka;;;;;;;;;x
c_aepaka_adj;Aepakan;;aepaker;;;;;;;;;;;x
c_afabyan;Afabyan;Afabyan;Afabyan;;Afabyan;;;;;;;;;x
c_afabyan_adj;Afabyanian;;afabyaner;;;;;;;;;;;x
c_afoliel;Afoliel;Afoliel;Afoliel;;Afoliel;;;;;;;;;x
c_afoliel_adj;Afolielian;;afolieler;;;;;;;;;;;x
c_agenella;Agenella;Agenella;Agenella;;Agenella;;;;;;;;;x
c_agenella_adj;Agenellan;;ageneller;;;;;;;;;;;x
c_agilihal;Agilihal;Agilihal;Agilihal;;Agilihal;;;;;;;;;x
c_agilihal_adj;Agilihalian;;agilihaler;;;;;;;;;;;x
c_agodibel;Agodibel;Agodibel;Agodibel;;Agodibel;;;;;;;;;x
c_agodibel_adj;Agodibelian;;agodibeler;;;;;;;;;;;x
c_ahlenda;Ahlenda;Ahlenda;Ahlenda;;Ahlenda;;;;;;;;;x
c_ahlenda_adj;Ahlendan;;ahlender;;;;;;;;;;;x
c_ajaipaka;Ajaipaka;Ajaipaka;Ajaipaka;;Ajaipaka;;;;;;;;;x
c_ajaipaka_adj;Ajaipakan;;ajaipaker;;;;;;;;;;;x
c_ajoherd;Ajoherd;Ajoherd;Ajoherd;;Ajoherd;;;;;;;;;x
c_ajoherd_adj;Ajoherdian;;ajoherder;;;;;;;;;;;x
c_akenevag;Akenevag;Akenevag;Akenevag;;Akenevag;;;;;;;;;x
c_akenevag_adj;Akenevagian;;akenevager;;;;;;;;;;;x
c_alartin;Alartin;Alartin;Alartin;;Alartin;;;;;;;;;x
c_alartin_adj;Alartinian;;alartiner;;;;;;;;;;;x
c_alindik;Alindik;Alindik;Alindik;;Alindik;;;;;;;;;x
c_alindik_adj;Alindikian;;alindiker;;;;;;;;;;;x
c_alishan;Alishan;Alishan;Alishan;;Alishan;;;;;;;;;x
c_alishan_adj;Alishanian;;alishaner;;;;;;;;;;;x
c_alyaniya;Alyaniya;Alyaniya;Alyaniya;;Alyaniya;;;;;;;;;x
c_alyaniya_adj;Alyaniyan;;alyaner;;;;;;;;;;;x
c_amarolas;Amarolas;Amarolas;Amarolas;;Amarolas;;;;;;;;;x
c_amarolas_adj;Amarolasian;;amarolaser;;;;;;;;;;;x
c_amaudey;Amaudey;Amaudey;Amaudey;;Amaudey;;;;;;;;;x
c_amaudey_adj;Amaudeian;;amaudeer;;;;;;;;;;;x
c_amazal;Amazal;Amazal;Amazal;;Amazal;;;;;;;;;x
c_amazal_adj;Amazalian;;amazaler;;;;;;;;;;;x
c_ametii;Ametii;Ametii;Ametii;;Ametii;;;;;;;;;x
c_ametii_adj;Ametian;;ameter;;;;;;;;;;;x
c_amunabra;Amunabra;Amunabra;Amunabra;;Amunabra;;;;;;;;;x
