#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_amoi;Amoi;Amoi;Amoi;;Amoi;;;;;;;;;x
k_amoi_adj;Amian;;amer;;;;;;;;;;;x
k_aybalor;Aybalor;Aybalor;Aybalor;;Aybalor;;;;;;;;;x
k_aybalor_adj;Aybalorian;;aybalorer;;;;;;;;;;;x
k_coeur;Coeur;Coeur;Coeur;;Coeur;;;;;;;;;x
k_coeur_adj;Coeurian;;coeurer;;;;;;;;;;;x
k_grones;Grones;Grones;Grones;;Grones;;;;;;;;;x
k_grones_adj;Gronesian;;groneser;;;;;;;;;;;x
k_kedrya;Kedrya;Kedrya;Kedrya;;Kedrya;;;;;;;;;x
k_kedrya_adj;Kedryan;;kedrer;;;;;;;;;;;x
k_krohax;Krohax;Krohax;Krohax;;Krohax;;;;;;;;;x
k_krohax_adj;Krohaxian;;krohaxer;;;;;;;;;;;x
k_les_portes;Les portes;Les portes;Les portes;;Les portes;;;;;;;;;x
k_les_portes_adj;Les portesian;;Les porteser;;;;;;;;;;;x
k_sagets;Sagets;Sagets;Sagets;;Sagets;;;;;;;;;x
k_sagets_adj;Sagetsian;;sagetser;;;;;;;;;;;x
k_schildland;SchildLand;SchildLand;SchildLand;;SchildLand;;;;;;;;;x
k_schildland_adj;SchildLandian;;schildlander;;;;;;;;;;;x
k_vilandar;Vilandar;Vilandar;Vilandar;;Vilandar;;;;;;;;;x
k_vilandar_adj;Vilandarian;;vilandarer;;;;;;;;;;;x
