#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_abarouane;Abarouane;Abarouane;Abarouane;;Abarouane;;;;;;;;;x
d_abarouane_adj;Abarouanean;;abarouaner;;;;;;;;;;;x
d_bempong;Bempong;Bempong;Bempong;;Bempong;;;;;;;;;x
d_bempong_adj;Bempongian;;bemponger;;;;;;;;;;;x
d_kadioniaka;Kadioniaka;Kadioniaka;Kadioniaka;;Kadioniaka;;;;;;;;;x
d_kadioniaka_adj;Kadioniakan;;kadioniaker;;;;;;;;;;;x
d_kido;Kido;Kido;Kido;;Kido;;;;;;;;;x
d_kido_adj;Kidian;;kider;;;;;;;;;;;x
d_odyali;Odyali;Odyali;Odyali;;Odyali;;;;;;;;;x
d_odyali_adj;Odyalian;;odyaler;;;;;;;;;;;x
d_oketo;Oketo;Oketo;Oketo;;Oketo;;;;;;;;;x
d_oketo_adj;Oketian;;oketer;;;;;;;;;;;x
d_poumo;Poumo;Poumo;Poumo;;Poumo;;;;;;;;;x
d_poumo_adj;Poumian;;poumer;;;;;;;;;;;x
d_salakim;Salakim;Salakim;Salakim;;Salakim;;;;;;;;;x
d_salakim_adj;Salakimian;;salakimer;;;;;;;;;;;x
d_siama;Siama;Siama;Siama;;Siama;;;;;;;;;x
d_siama_adj;Siaman;;siamer;;;;;;;;;;;x
d_tora;Tora;Tora;Tora;;Tora;;;;;;;;;x
d_tora_adj;Toran;;torer;;;;;;;;;;;x
