#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_ad_diwafar;Ad Diwafar;Ad Diwafar;Ad Diwafar;;Ad Diwafar;;;;;;;;;x
b_ad_diwafar_adj;Ad Diwafarian;;Ad Diwafarer;;;;;;;;;;;x
b_ahvatian;Ahvatian;Ahvatian;Ahvatian;;Ahvatian;;;;;;;;;x
b_ahvatian_adj;Ahvatianian;;ahvatianer;;;;;;;;;;;x
b_al_marm;Al-Marm;Al-Marm;Al-Marm;;Al-Marm;;;;;;;;;x
b_al_marm_adj;Al-Marmian;;al-marmer;;;;;;;;;;;x
b_alazd;Alazd;Alazd;Alazd;;Alazd;;;;;;;;;x
b_alazd_adj;Alazdian;;alazder;;;;;;;;;;;x
b_amash;Amash;Amash;Amash;;Amash;;;;;;;;;x
b_amash_adj;Amashian;;amasher;;;;;;;;;;;x
b_babyppur;Babyppur;Babyppur;Babyppur;;Babyppur;;;;;;;;;x
b_babyppur_adj;Babyppurian;;babyppurer;;;;;;;;;;;x
b_bahcedere;Bahçedere;Bahçedere;Bahçedere;;Bahçedere;;;;;;;;;x
b_bahcedere_adj;Bahçederean;;bahçederer;;;;;;;;;;;x
b_bakira;Bakira;Bakira;Bakira;;Bakira;;;;;;;;;x
b_bakira_adj;Bakiran;;bakirer;;;;;;;;;;;x
b_bakira_2;Bakira;Bakira;Bakira;;Bakira;;;;;;;;;x
b_bakira_2_adj;Bakiran;;bakirer;;;;;;;;;;;x
b_beni_marbin;Beni Marbin;Beni Marbin;Beni Marbin;;Beni Marbin;;;;;;;;;x
b_beni_marbin_adj;Beni Marbinian;;Beni Marbiner;;;;;;;;;;;x
b_ctesirkuk;Ctesirkuk;Ctesirkuk;Ctesirkuk;;Ctesirkuk;;;;;;;;;x
b_ctesirkuk_adj;Ctesirkukian;;ctesirkuker;;;;;;;;;;;x
b_deduga;Deduga;Deduga;Deduga;;Deduga;;;;;;;;;x
b_deduga_adj;Dedugan;;deduger;;;;;;;;;;;x
b_deduga_2;Deduga;Deduga;Deduga;;Deduga;;;;;;;;;x
b_deduga_2_adj;Dedugan;;deduger;;;;;;;;;;;x
b_deladai;Deladai;Deladai;Deladai;;Deladai;;;;;;;;;x
b_deladai_adj;Deladian;;delader;;;;;;;;;;;x
b_deladai_2;Deladai;Deladai;Deladai;;Deladai;;;;;;;;;x
b_deladai_2_adj;Deladian;;delader;;;;;;;;;;;x
b_detpalamadaran;Detpalamadaran;Detpalamadaran;Detpalamadaran;;Detpalamadaran;;;;;;;;;x
b_detpalamadaran_adj;Detpalamadaranian;;detpalamadaraner;;;;;;;;;;;x
b_detpalamadaran_2;Detpalamadaran;Detpalamadaran;Detpalamadaran;;Detpalamadaran;;;;;;;;;x
b_detpalamadaran_2_adj;Detpalamadaranian;;detpalamadaraner;;;;;;;;;;;x
b_dhadameih;Dhadameih;Dhadameih;Dhadameih;;Dhadameih;;;;;;;;;x
b_dhadameih_adj;Dhadameihian;;dhadameiher;;;;;;;;;;;x
b_dudony;Dudony;Dudony;Dudony;;Dudony;;;;;;;;;x
b_dudony_adj;Dudonian;;dudoner;;;;;;;;;;;x
b_dudony_2;Dudony;Dudony;Dudony;;Dudony;;;;;;;;;x
b_dudony_2_adj;Dudonian;;dudoner;;;;;;;;;;;x
b_el_mahareya;El Mahareya;El Mahareya;El Mahareya;;El Mahareya;;;;;;;;;x
b_el_mahareya_adj;El Mahareyan;;El Mahareer;;;;;;;;;;;x
b_elanhad;Elanhad;Elanhad;Elanhad;;Elanhad;;;;;;;;;x
b_elanhad_adj;Elanhadian;;elanhader;;;;;;;;;;;x
b_elanhad_2;Elanhad;Elanhad;Elanhad;;Elanhad;;;;;;;;;x
b_elanhad_2_adj;Elanhadian;;elanhader;;;;;;;;;;;x
b_fainyet;Fainyet;Fainyet;Fainyet;;Fainyet;;;;;;;;;x
b_fainyet_adj;Fainyetian;;fainyeter;;;;;;;;;;;x
b_founab;Founab;Founab;Founab;;Founab;;;;;;;;;x
b_founab_adj;Founabian;;founaber;;;;;;;;;;;x
b_goekokoyunlu;Gökokoyunlu;Gökokoyunlu;Gökokoyunlu;;Gökokoyunlu;;;;;;;;;x
b_goekokoyunlu_adj;Gökokoyunlian;;gökokoyunler;;;;;;;;;;;x
b_harmajh;Harmajh;Harmajh;Harmajh;;Harmajh;;;;;;;;;x
b_harmajh_adj;Harmajhian;;harmajher;;;;;;;;;;;x
b_hofuzan;Hofuzan;Hofuzan;Hofuzan;;Hofuzan;;;;;;;;;x
b_hofuzan_adj;Hofuzanian;;hofuzaner;;;;;;;;;;;x
b_jarawrat;Jarawrat;Jarawrat;Jarawrat;;Jarawrat;;;;;;;;;x
b_jarawrat_adj;Jarawratian;;jarawrater;;;;;;;;;;;x
b_kaematha;Kaematha;Kaematha;Kaematha;;Kaematha;;;;;;;;;x
b_kaematha_adj;Kaemathan;;kaemather;;;;;;;;;;;x
b_kaematha_2;Kaematha;Kaematha;Kaematha;;Kaematha;;;;;;;;;x
b_kaematha_2_adj;Kaemathan;;kaemather;;;;;;;;;;;x
b_kalibor;Kalibor;Kalibor;Kalibor;;Kalibor;;;;;;;;;x
b_kalibor_adj;Kaliborian;;kaliborer;;;;;;;;;;;x
b_kalibor_2;Kalibor;Kalibor;Kalibor;;Kalibor;;;;;;;;;x
b_kalibor_2_adj;Kaliborian;;kaliborer;;;;;;;;;;;x
b_keduga;Keduga;Keduga;Keduga;;Keduga;;;;;;;;;x
b_keduga_adj;Kedugan;;keduger;;;;;;;;;;;x
b_keduga_2;Keduga;Keduga;Keduga;;Keduga;;;;;;;;;x
b_keduga_2_adj;Kedugan;;keduger;;;;;;;;;;;x
b_ketibor;Ketibor;Ketibor;Ketibor;;Ketibor;;;;;;;;;x
b_ketibor_adj;Ketiborian;;ketiborer;;;;;;;;;;;x
b_ketibor_2;Ketibor;Ketibor;Ketibor;;Ketibor;;;;;;;;;x
b_ketibor_2_adj;Ketiborian;;ketiborer;;;;;;;;;;;x
b_kocanekin;Kocanekin;Kocanekin;Kocanekin;;Kocanekin;;;;;;;;;x
b_kocanekin_adj;Kocanekinian;;kocanekiner;;;;;;;;;;;x
b_koratha;Koratha;Koratha;Koratha;;Koratha;;;;;;;;;x
b_koratha_adj;Korathan;;korather;;;;;;;;;;;x
b_koratha_2;Koratha;Koratha;Koratha;;Koratha;;;;;;;;;x
b_koratha_2_adj;Korathan;;korather;;;;;;;;;;;x
b_lahishtun;Lahishtun;Lahishtun;Lahishtun;;Lahishtun;;;;;;;;;x
b_lahishtun_adj;Lahishtunian;;lahishtuner;;;;;;;;;;;x
b_laluga;Laluga;Laluga;Laluga;;Laluga;;;;;;;;;x
