#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_ahvadsar;Ahvadsar;Ahvadsar;Ahvadsar;;Ahvadsar;;;;;;;;;x
d_ahvadsar_adj;Ahvadsarian;;ahvadsarer;;;;;;;;;;;x
d_al_kirakh;Al-Kirakh;Al-Kirakh;Al-Kirakh;;Al-Kirakh;;;;;;;;;x
d_al_kirakh_adj;Al-Kirakhian;;al-kirakher;;;;;;;;;;;x
d_al_marm;Al-Marm;Al-Marm;Al-Marm;;Al-Marm;;;;;;;;;x
d_al_marm_adj;Al-Marmian;;al-marmer;;;;;;;;;;;x
d_al_quwi;Al-Quwi;Al-Quwi;Al-Quwi;;Al-Quwi;;;;;;;;;x
d_al_quwi_adj;Al-Quwian;;al-quwer;;;;;;;;;;;x
d_amanayat;Amanayat;Amanayat;Amanayat;;Amanayat;;;;;;;;;x
d_amanayat_adj;Amanayatian;;amanayater;;;;;;;;;;;x
d_beni_suyoum;Beni Suyoum;Beni Suyoum;Beni Suyoum;;Beni Suyoum;;;;;;;;;x
d_beni_suyoum_adj;Beni Suyoumian;;Beni Suyoumer;;;;;;;;;;;x
d_binninawat;Binninawat;Binninawat;Binninawat;;Binninawat;;;;;;;;;x
d_binninawat_adj;Binninawatian;;binninawater;;;;;;;;;;;x
d_buraqaiq;Buraqaiq;Buraqaiq;Buraqaiq;;Buraqaiq;;;;;;;;;x
d_buraqaiq_adj;Buraqaiqian;;buraqaiqer;;;;;;;;;;;x
d_dhadameih;Dhadameih;Dhadameih;Dhadameih;;Dhadameih;;;;;;;;;x
d_dhadameih_adj;Dhadameihian;;dhadameiher;;;;;;;;;;;x
d_safrrah;Safrrah;Safrrah;Safrrah;;Safrrah;;;;;;;;;x
d_safrrah_adj;Safrrahian;;safrraher;;;;;;;;;;;x
d_tel_halasiyyah;Tel Halasiyyah;Tel Halasiyyah;Tel Halasiyyah;;Tel Halasiyyah;;;;;;;;;x
d_tel_halasiyyah_adj;Tel Halasiyyahian;;Tel Halasiyyaher;;;;;;;;;;;x
