#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_bang_krudaeng;Bang Krudaeng;Bang Krudaeng;Bang Krudaeng;;Bang Krudaeng;;;;;;;;;x
d_bang_krudaeng_adj;Bang Krudaengian;;Bang Krudaenger;;;;;;;;;;;x
d_cimakerto;Cimakerto;Cimakerto;Cimakerto;;Cimakerto;;;;;;;;;x
d_cimakerto_adj;Cimakertian;;cimakerter;;;;;;;;;;;x
d_muching;Muching;Muching;Muching;;Muching;;;;;;;;;x
d_muching_adj;Muchingian;;muchinger;;;;;;;;;;;x
d_quang_ha;Quang Hà;Quang Hà;Quang Hà;;Quang Hà;;;;;;;;;x
d_quang_ha_adj;Quang Hàian;;Quang Hàer;;;;;;;;;;;x
d_salagarong;Salagarong;Salagarong;Salagarong;;Salagarong;;;;;;;;;x
d_salagarong_adj;Salagarongian;;salagaronger;;;;;;;;;;;x
d_selakei;Selakei;Selakei;Selakei;;Selakei;;;;;;;;;x
d_selakei_adj;Selakian;;selaker;;;;;;;;;;;x
d_siepenh;Siepenh;Siepenh;Siepenh;;Siepenh;;;;;;;;;x
d_siepenh_adj;Siepenhian;;siepenher;;;;;;;;;;;x
d_tboutam;Tboutam;Tboutam;Tboutam;;Tboutam;;;;;;;;;x
d_tboutam_adj;Tboutamian;;tboutamer;;;;;;;;;;;x
