#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_alcote;Alcote;Alcote;Alcote;;Alcote;;;;;;;;;x
b_alcote_adj;Alcotean;;alcoter;;;;;;;;;;;x
b_almelche;Almelche;Almelche;Almelche;;Almelche;;;;;;;;;x
b_almelche_adj;Almelchean;;almelcher;;;;;;;;;;;x
b_anye;anye;anye;anye;;anye;;;;;;;;;x
b_anye_adj;anyean;;aner;;;;;;;;;;;x
b_anye_2;anye;anye;anye;;anye;;;;;;;;;x
b_anye_2_adj;anyean;;aner;;;;;;;;;;;x
b_anye_3;anye;anye;anye;;anye;;;;;;;;;x
b_anye_3_adj;anyean;;aner;;;;;;;;;;;x
b_anye_4;anye;anye;anye;;anye;;;;;;;;;x
b_anye_4_adj;anyean;;aner;;;;;;;;;;;x
b_badagrono;Badagrono;Badagrono;Badagrono;;Badagrono;;;;;;;;;x
b_badagrono_adj;Badagronian;;badagroner;;;;;;;;;;;x
b_bafati;Bafati;Bafati;Bafati;;Bafati;;;;;;;;;x
b_bafati_adj;Bafatian;;bafater;;;;;;;;;;;x
b_bamona;Bamona;Bamona;Bamona;;Bamona;;;;;;;;;x
b_bamona_adj;Bamonan;;bamoner;;;;;;;;;;;x
b_barcedras;Barcedras;Barcedras;Barcedras;;Barcedras;;;;;;;;;x
b_barcedras_adj;Barcedrasian;;barcedraser;;;;;;;;;;;x
b_becem;Becem;Becem;Becem;;Becem;;;;;;;;;x
b_becem_adj;Becemian;;becemer;;;;;;;;;;;x
b_biron;Biron;Biron;Biron;;Biron;;;;;;;;;x
b_biron_adj;Bironian;;bironer;;;;;;;;;;;x
b_boloni;Boloni;Boloni;Boloni;;Boloni;;;;;;;;;x
b_boloni_adj;Bolonian;;boloner;;;;;;;;;;;x
b_bolzavero;Bolzavero;Bolzavero;Bolzavero;;Bolzavero;;;;;;;;;x
b_bolzavero_adj;Bolzaverian;;bolzaverer;;;;;;;;;;;x
b_bramor;Bramor;Bramor;Bramor;;Bramor;;;;;;;;;x
b_bramor_adj;Bramorian;;bramorer;;;;;;;;;;;x
b_brirrara;Brirrara;Brirrara;Brirrara;;Brirrara;;;;;;;;;x
b_brirrara_adj;Brirraran;;brirrarer;;;;;;;;;;;x
b_bunijne;bunijne;bunijne;bunijne;;bunijne;;;;;;;;;x
b_bunijne_adj;bunijnean;;bunijner;;;;;;;;;;;x
b_bunijne_2;bunijne;bunijne;bunijne;;bunijne;;;;;;;;;x
b_bunijne_2_adj;bunijnean;;bunijner;;;;;;;;;;;x
b_bunijne_3;bunijne;bunijne;bunijne;;bunijne;;;;;;;;;x
b_bunijne_3_adj;bunijnean;;bunijner;;;;;;;;;;;x
b_bunijne_4;bunijne;bunijne;bunijne;;bunijne;;;;;;;;;x
b_bunijne_4_adj;bunijnean;;bunijner;;;;;;;;;;;x
b_burrara;Burrara;Burrara;Burrara;;Burrara;;;;;;;;;x
b_burrara_adj;Burraran;;burrarer;;;;;;;;;;;x
b_byua;byua;byua;byua;;byua;;;;;;;;;x
b_byua_adj;byuan;;ber;;;;;;;;;;;x
b_byua_2;byua;byua;byua;;byua;;;;;;;;;x
b_byua_2_adj;byuan;;ber;;;;;;;;;;;x
b_byua_3;byua;byua;byua;;byua;;;;;;;;;x
b_byua_3_adj;byuan;;ber;;;;;;;;;;;x
b_byua_4;byua;byua;byua;;byua;;;;;;;;;x
b_byua_4_adj;byuan;;ber;;;;;;;;;;;x
b_byyako;byyako;byyako;byyako;;byyako;;;;;;;;;x
b_byyako_adj;byyakian;;byyaker;;;;;;;;;;;x
b_byyako_2;byyako;byyako;byyako;;byyako;;;;;;;;;x
b_byyako_2_adj;byyakian;;byyaker;;;;;;;;;;;x
b_byyako_3;byyako;byyako;byyako;;byyako;;;;;;;;;x
b_byyako_3_adj;byyakian;;byyaker;;;;;;;;;;;x
b_byyako_4;byyako;byyako;byyako;;byyako;;;;;;;;;x
b_byyako_4_adj;byyakian;;byyaker;;;;;;;;;;;x
b_caguna;Caguna;Caguna;Caguna;;Caguna;;;;;;;;;x
b_caguna_adj;Cagunan;;caguner;;;;;;;;;;;x
b_capandra;Capandra;Capandra;Capandra;;Capandra;;;;;;;;;x
b_capandra_adj;Capandran;;capandrer;;;;;;;;;;;x
b_carletta;Carletta;Carletta;Carletta;;Carletta;;;;;;;;;x
b_carletta_adj;Carlettan;;carletter;;;;;;;;;;;x
b_cartanhel;Cartanhel;Cartanhel;Cartanhel;;Cartanhel;;;;;;;;;x
b_cartanhel_adj;Cartanhelian;;cartanheler;;;;;;;;;;;x
b_chardosa;Chardosa;Chardosa;Chardosa;;Chardosa;;;;;;;;;x
b_chardosa_adj;Chardosan;;chardoser;;;;;;;;;;;x
b_civime;Civime;Civime;Civime;;Civime;;;;;;;;;x
b_civime_adj;Civimean;;civimer;;;;;;;;;;;x
b_dyir;dyir;dyir;dyir;;dyir;;;;;;;;;x
b_dyir_adj;dyirian;;dyirer;;;;;;;;;;;x
b_dyir_2;dyir;dyir;dyir;;dyir;;;;;;;;;x
b_dyir_2_adj;dyirian;;dyirer;;;;;;;;;;;x
b_dyir_3;dyir;dyir;dyir;;dyir;;;;;;;;;x
b_dyir_3_adj;dyirian;;dyirer;;;;;;;;;;;x
b_dyir_4;dyir;dyir;dyir;;dyir;;;;;;;;;x
b_dyir_4_adj;dyirian;;dyirer;;;;;;;;;;;x
b_egalaia;Egalaia;Egalaia;Egalaia;;Egalaia;;;;;;;;;x
b_egalaia_adj;Egalaian;;egaler;;;;;;;;;;;x
b_ehoosith;ehoosith;ehoosith;ehoosith;;ehoosith;;;;;;;;;x
b_ehoosith_adj;ehoosithian;;ehoosither;;;;;;;;;;;x
b_ehoosith_2;ehoosith;ehoosith;ehoosith;;ehoosith;;;;;;;;;x
b_ehoosith_2_adj;ehoosithian;;ehoosither;;;;;;;;;;;x
b_ehoosith_3;ehoosith;ehoosith;ehoosith;;ehoosith;;;;;;;;;x
b_ehoosith_3_adj;ehoosithian;;ehoosither;;;;;;;;;;;x
b_ehoosith_4;ehoosith;ehoosith;ehoosith;;ehoosith;;;;;;;;;x
b_ehoosith_4_adj;ehoosithian;;ehoosither;;;;;;;;;;;x
b_elellini;Elellini;Elellini;Elellini;;Elellini;;;;;;;;;x
b_elellini_adj;Elellinian;;elelliner;;;;;;;;;;;x
b_elvamento;Elvamento;Elvamento;Elvamento;;Elvamento;;;;;;;;;x
b_elvamento_adj;Elvamentian;;elvamenter;;;;;;;;;;;x
b_ermengo;Ermengo;Ermengo;Ermengo;;Ermengo;;;;;;;;;x
b_ermengo_adj;Ermengian;;ermenger;;;;;;;;;;;x
b_ermoulcis;Ermoulcis;Ermoulcis;Ermoulcis;;Ermoulcis;;;;;;;;;x
b_ermoulcis_adj;Ermoulcisian;;ermoulciser;;;;;;;;;;;x
b_erynina;Erynina;Erynina;Erynina;;Erynina;;;;;;;;;x
b_erynina_adj;Eryninan;;eryniner;;;;;;;;;;;x
b_ewyaz;ewyaz;ewyaz;ewyaz;;ewyaz;;;;;;;;;x
b_ewyaz_adj;ewyazian;;ewyazer;;;;;;;;;;;x
b_ewyaz_2;ewyaz;ewyaz;ewyaz;;ewyaz;;;;;;;;;x
b_ewyaz_2_adj;ewyazian;;ewyazer;;;;;;;;;;;x
b_ewyaz_3;ewyaz;ewyaz;ewyaz;;ewyaz;;;;;;;;;x
b_ewyaz_3_adj;ewyazian;;ewyazer;;;;;;;;;;;x
b_ewyaz_4;ewyaz;ewyaz;ewyaz;;ewyaz;;;;;;;;;x
b_ewyaz_4_adj;ewyazian;;ewyazer;;;;;;;;;;;x
b_fandela;Fandela;Fandela;Fandela;;Fandela;;;;;;;;;x
b_fandela_adj;Fandelan;;fandeler;;;;;;;;;;;x
b_fiseu;Fiseu;Fiseu;Fiseu;;Fiseu;;;;;;;;;x
b_fiseu_adj;Fisian;;fiser;;;;;;;;;;;x
b_freamoz;Freamoz;Freamoz;Freamoz;;Freamoz;;;;;;;;;x
b_freamoz_adj;Freamozian;;freamozer;;;;;;;;;;;x
b_furica;Furica;Furica;Furica;;Furica;;;;;;;;;x
b_furica_adj;Furican;;furicer;;;;;;;;;;;x
b_gallagna;Gallagna;Gallagna;Gallagna;;Gallagna;;;;;;;;;x
b_gallagna_adj;Gallagnan;;gallagner;;;;;;;;;;;x
b_gedolid;Gedolid;Gedolid;Gedolid;;Gedolid;;;;;;;;;x
b_gedolid_adj;Gedolidian;;gedolider;;;;;;;;;;;x
b_germa;Germa;Germa;Germa;;Germa;;;;;;;;;x
b_germa_adj;German;;germer;;;;;;;;;;;x
b_giafka;Giafka;Giafka;Giafka;;Giafka;;;;;;;;;x
b_giafka_adj;Giafkan;;giafker;;;;;;;;;;;x
b_giarfosi;Giarfosi;Giarfosi;Giarfosi;;Giarfosi;;;;;;;;;x
b_giarfosi_adj;Giarfosian;;giarfoser;;;;;;;;;;;x
b_giatras;Giatras;Giatras;Giatras;;Giatras;;;;;;;;;x
b_giatras_adj;Giatrasian;;giatraser;;;;;;;;;;;x
b_giurbo;Giurbo;Giurbo;Giurbo;;Giurbo;;;;;;;;;x
b_giurbo_adj;Giurbian;;giurber;;;;;;;;;;;x
b_guadalander;Guadalander;Guadalander;Guadalander;;Guadalander;;;;;;;;;x
b_guadalander_adj;Guadalanderian;;guadalanderer;;;;;;;;;;;x
b_guadaria;Guadaria;Guadaria;Guadaria;;Guadaria;;;;;;;;;x
b_guadaria_adj;Guadarian;;guadarer;;;;;;;;;;;x
b_guades;Guades;Guades;Guades;;Guades;;;;;;;;;x
b_guades_adj;Guadesian;;guadeser;;;;;;;;;;;x
b_guanhos;Guanhos;Guanhos;Guanhos;;Guanhos;;;;;;;;;x
b_guanhos_adj;Guanhosian;;guanhoser;;;;;;;;;;;x
b_ialydroupoli;Ialydroupoli;Ialydroupoli;Ialydroupoli;;Ialydroupoli;;;;;;;;;x
b_ialydroupoli_adj;Ialydroupolian;;ialydroupoler;;;;;;;;;;;x
b_ieradri;Ieradri;Ieradri;Ieradri;;Ieradri;;;;;;;;;x
b_ieradri_adj;Ieradrian;;ieradrer;;;;;;;;;;;x
b_iliourmi;Iliourmi;Iliourmi;Iliourmi;;Iliourmi;;;;;;;;;x
b_iliourmi_adj;Iliourmian;;iliourmer;;;;;;;;;;;x
b_kamanikon;Kamanikon;Kamanikon;Kamanikon;;Kamanikon;;;;;;;;;x
b_kamanikon_adj;Kamanikonian;;kamanikoner;;;;;;;;;;;x
b_kanata;kanata;kanata;kanata;;kanata;;;;;;;;;x
b_kanata_adj;kanatan;;kanater;;;;;;;;;;;x
b_kanata_2;kanata;kanata;kanata;;kanata;;;;;;;;;x
b_kanata_2_adj;kanatan;;kanater;;;;;;;;;;;x
b_kanata_3;kanata;kanata;kanata;;kanata;;;;;;;;;x
b_kanata_3_adj;kanatan;;kanater;;;;;;;;;;;x
b_kanata_4;kanata;kanata;kanata;;kanata;;;;;;;;;x
b_kanata_4_adj;kanatan;;kanater;;;;;;;;;;;x
b_kenanay;kenanay;kenanay;kenanay;;kenanay;;;;;;;;;x
b_kenanay_adj;kenanaian;;kenanaer;;;;;;;;;;;x
b_kenanay_2;kenanay;kenanay;kenanay;;kenanay;;;;;;;;;x
b_kenanay_2_adj;kenanaian;;kenanaer;;;;;;;;;;;x
b_kenanay_3;kenanay;kenanay;kenanay;;kenanay;;;;;;;;;x
b_kenanay_3_adj;kenanaian;;kenanaer;;;;;;;;;;;x
b_kenanay_4;kenanay;kenanay;kenanay;;kenanay;;;;;;;;;x
b_kenanay_4_adj;kenanaian;;kenanaer;;;;;;;;;;;x
b_kiartas;kiartas;kiartas;kiartas;;kiartas;;;;;;;;;x
b_kiartas_adj;kiartasian;;kiartaser;;;;;;;;;;;x
b_kiartas_2;kiartas;kiartas;kiartas;;kiartas;;;;;;;;;x
b_kiartas_2_adj;kiartasian;;kiartaser;;;;;;;;;;;x
b_kiartas_3;kiartas;kiartas;kiartas;;kiartas;;;;;;;;;x
b_kiartas_3_adj;kiartasian;;kiartaser;;;;;;;;;;;x
b_kiartas_4;kiartas;kiartas;kiartas;;kiartas;;;;;;;;;x
b_kiartas_4_adj;kiartasian;;kiartaser;;;;;;;;;;;x
b_kicijne;kicijne;kicijne;kicijne;;kicijne;;;;;;;;;x
b_kicijne_adj;kicijnean;;kicijner;;;;;;;;;;;x
b_kicijne_2;kicijne;kicijne;kicijne;;kicijne;;;;;;;;;x
b_kicijne_2_adj;kicijnean;;kicijner;;;;;;;;;;;x
b_kicijne_3;kicijne;kicijne;kicijne;;kicijne;;;;;;;;;x
b_kicijne_3_adj;kicijnean;;kicijner;;;;;;;;;;;x
b_kicijne_4;kicijne;kicijne;kicijne;;kicijne;;;;;;;;;x
b_kicijne_4_adj;kicijnean;;kicijner;;;;;;;;;;;x
b_kifika;Kifika;Kifika;Kifika;;Kifika;;;;;;;;;x
b_kifika_adj;Kifikan;;kifiker;;;;;;;;;;;x
b_koka;koka;koka;koka;;koka;;;;;;;;;x
b_koka_adj;kokan;;koker;;;;;;;;;;;x
b_koka_2;koka;koka;koka;;koka;;;;;;;;;x
b_koka_2_adj;kokan;;koker;;;;;;;;;;;x
b_koka_3;koka;koka;koka;;koka;;;;;;;;;x
b_koka_3_adj;kokan;;koker;;;;;;;;;;;x
b_koka_4;koka;koka;koka;;koka;;;;;;;;;x
b_koka_4_adj;kokan;;koker;;;;;;;;;;;x
b_koruyat;koruyat;koruyat;koruyat;;koruyat;;;;;;;;;x
b_koruyat_adj;koruyatian;;koruyater;;;;;;;;;;;x
b_koruyat_2;koruyat;koruyat;koruyat;;koruyat;;;;;;;;;x
b_koruyat_2_adj;koruyatian;;koruyater;;;;;;;;;;;x
b_koruyat_3;koruyat;koruyat;koruyat;;koruyat;;;;;;;;;x
b_koruyat_3_adj;koruyatian;;koruyater;;;;;;;;;;;x
b_koruyat_4;koruyat;koruyat;koruyat;;koruyat;;;;;;;;;x
b_koruyat_4_adj;koruyatian;;koruyater;;;;;;;;;;;x
b_kyaz;kyaz;kyaz;kyaz;;kyaz;;;;;;;;;x
b_kyaz_adj;kyazian;;kyazer;;;;;;;;;;;x
b_kyaz_2;kyaz;kyaz;kyaz;;kyaz;;;;;;;;;x
b_kyaz_2_adj;kyazian;;kyazer;;;;;;;;;;;x
b_kyaz_3;kyaz;kyaz;kyaz;;kyaz;;;;;;;;;x
b_kyaz_3_adj;kyazian;;kyazer;;;;;;;;;;;x
b_kyaz_4;kyaz;kyaz;kyaz;;kyaz;;;;;;;;;x
b_kyaz_4_adj;kyazian;;kyazer;;;;;;;;;;;x
b_lalona;Lalona;Lalona;Lalona;;Lalona;;;;;;;;;x
b_lalona_adj;Lalonan;;laloner;;;;;;;;;;;x
b_lameramo;Lameramo;Lameramo;Lameramo;;Lameramo;;;;;;;;;x
b_lameramo_adj;Lameramian;;lameramer;;;;;;;;;;;x
b_lamevelas;Lamevelas;Lamevelas;Lamevelas;;Lamevelas;;;;;;;;;x
b_lamevelas_adj;Lamevelasian;;lamevelaser;;;;;;;;;;;x
b_lanata;lanata;lanata;lanata;;lanata;;;;;;;;;x
b_lanata_adj;lanatan;;lanater;;;;;;;;;;;x
b_lanata_2;lanata;lanata;lanata;;lanata;;;;;;;;;x
b_lanata_2_adj;lanatan;;lanater;;;;;;;;;;;x
b_lanata_3;lanata;lanata;lanata;;lanata;;;;;;;;;x
b_lanata_3_adj;lanatan;;lanater;;;;;;;;;;;x
b_lanata_4;lanata;lanata;lanata;;lanata;;;;;;;;;x
b_lanata_4_adj;lanatan;;lanater;;;;;;;;;;;x
b_lenada;Lenada;Lenada;Lenada;;Lenada;;;;;;;;;x
b_lenada_adj;Lenadan;;lenader;;;;;;;;;;;x
b_livalio;Livalio;Livalio;Livalio;;Livalio;;;;;;;;;x
b_livalio_adj;Livalian;;livaler;;;;;;;;;;;x
b_macegueiras;Macegueiras;Macegueiras;Macegueiras;;Macegueiras;;;;;;;;;x
b_macegueiras_adj;Macegueirasian;;macegueiraser;;;;;;;;;;;x
b_maceras;Maceras;Maceras;Maceras;;Maceras;;;;;;;;;x
b_maceras_adj;Macerasian;;maceraser;;;;;;;;;;;x
b_maladorm;Maladorm;Maladorm;Maladorm;;Maladorm;;;;;;;;;x
b_maladorm_adj;Maladormian;;maladormer;;;;;;;;;;;x
b_malonghi;Malonghi;Malonghi;Malonghi;;Malonghi;;;;;;;;;x
b_malonghi_adj;Malonghian;;malongher;;;;;;;;;;;x
b_marissa;Marissa;Marissa;Marissa;;Marissa;;;;;;;;;x
b_marissa_adj;Marissan;;marisser;;;;;;;;;;;x
b_matestoia;Matestoia;Matestoia;Matestoia;;Matestoia;;;;;;;;;x
b_matestoia_adj;Matestoian;;matester;;;;;;;;;;;x
b_matocedo;Matocedo;Matocedo;Matocedo;;Matocedo;;;;;;;;;x
b_matocedo_adj;Matocedian;;matoceder;;;;;;;;;;;x
b_mealhaveia;Mealhaveia;Mealhaveia;Mealhaveia;;Mealhaveia;;;;;;;;;x
b_mealhaveia_adj;Mealhaveian;;mealhaver;;;;;;;;;;;x
b_metassia;Metassia;Metassia;Metassia;;Metassia;;;;;;;;;x
b_metassia_adj;Metassian;;metasser;;;;;;;;;;;x
b_metsona;Metsona;Metsona;Metsona;;Metsona;;;;;;;;;x
b_metsona_adj;Metsonan;;metsoner;;;;;;;;;;;x
b_mettos;Mettos;Mettos;Mettos;;Mettos;;;;;;;;;x
b_mettos_adj;Mettosian;;mettoser;;;;;;;;;;;x
b_miscia;Miscia;Miscia;Miscia;;Miscia;;;;;;;;;x
b_miscia_adj;Miscian;;miscer;;;;;;;;;;;x
b_moda;Moda;Moda;Moda;;Moda;;;;;;;;;x
b_moda_adj;Modan;;moder;;;;;;;;;;;x
b_molade;Molade;Molade;Molade;;Molade;;;;;;;;;x
b_molade_adj;Moladean;;molader;;;;;;;;;;;x
b_mytissos;Mytissos;Mytissos;Mytissos;;Mytissos;;;;;;;;;x
b_mytissos_adj;Mytissosian;;mytissoser;;;;;;;;;;;x
b_nakaca;nakaca;nakaca;nakaca;;nakaca;;;;;;;;;x
b_nakaca_adj;nakacan;;nakacer;;;;;;;;;;;x
b_nakaca_2;nakaca;nakaca;nakaca;;nakaca;;;;;;;;;x
b_nakaca_2_adj;nakacan;;nakacer;;;;;;;;;;;x
b_nakaca_3;nakaca;nakaca;nakaca;;nakaca;;;;;;;;;x
b_nakaca_3_adj;nakacan;;nakacer;;;;;;;;;;;x
b_nakaca_4;nakaca;nakaca;nakaca;;nakaca;;;;;;;;;x
b_nakaca_4_adj;nakacan;;nakacer;;;;;;;;;;;x
b_nalzano;Nalzano;Nalzano;Nalzano;;Nalzano;;;;;;;;;x
b_nalzano_adj;Nalzanian;;nalzaner;;;;;;;;;;;x
b_pabes;Pabes;Pabes;Pabes;;Pabes;;;;;;;;;x
b_pabes_adj;Pabesian;;pabeser;;;;;;;;;;;x
b_paiarni;Paiarni;Paiarni;Paiarni;;Paiarni;;;;;;;;;x
b_paiarni_adj;Paiarnian;;paiarner;;;;;;;;;;;x
b_paleledo;Paleledo;Paleledo;Paleledo;;Paleledo;;;;;;;;;x
b_paleledo_adj;Paleledian;;paleleder;;;;;;;;;;;x
b_pavelas;Pavelas;Pavelas;Pavelas;;Pavelas;;;;;;;;;x
b_pavelas_adj;Pavelasian;;pavelaser;;;;;;;;;;;x
b_penivelas;Penivelas;Penivelas;Penivelas;;Penivelas;;;;;;;;;x
b_penivelas_adj;Penivelasian;;penivelaser;;;;;;;;;;;x
b_pomerma;Pomerma;Pomerma;Pomerma;;Pomerma;;;;;;;;;x
b_pomerma_adj;Pomerman;;pomermer;;;;;;;;;;;x
b_portanico;Portanico;Portanico;Portanico;;Portanico;;;;;;;;;x
b_portanico_adj;Portanician;;portanicer;;;;;;;;;;;x
b_pregou;Pregou;Pregou;Pregou;;Pregou;;;;;;;;;x
b_pregou_adj;Pregian;;preger;;;;;;;;;;;x
b_preverni;Preverni;Preverni;Preverni;;Preverni;;;;;;;;;x
b_preverni_adj;Prevernian;;preverner;;;;;;;;;;;x
b_psylcis;Psylcis;Psylcis;Psylcis;;Psylcis;;;;;;;;;x
b_psylcis_adj;Psylcisian;;psylciser;;;;;;;;;;;x
b_psyvros;Psyvros;Psyvros;Psyvros;;Psyvros;;;;;;;;;x
b_psyvros_adj;Psyvrosian;;psyvroser;;;;;;;;;;;x
b_qaduyat;qaduyat;qaduyat;qaduyat;;qaduyat;;;;;;;;;x
b_qaduyat_adj;qaduyatian;;qaduyater;;;;;;;;;;;x
b_qaduyat_2;qaduyat;qaduyat;qaduyat;;qaduyat;;;;;;;;;x
b_qaduyat_2_adj;qaduyatian;;qaduyater;;;;;;;;;;;x
b_qaduyat_3;qaduyat;qaduyat;qaduyat;;qaduyat;;;;;;;;;x
b_qaduyat_3_adj;qaduyatian;;qaduyater;;;;;;;;;;;x
b_qaduyat_4;qaduyat;qaduyat;qaduyat;;qaduyat;;;;;;;;;x
b_qaduyat_4_adj;qaduyatian;;qaduyater;;;;;;;;;;;x
b_radkokinko;radkokinko;radkokinko;radkokinko;;radkokinko;;;;;;;;;x
b_radkokinko_adj;radkokinkian;;radkokinker;;;;;;;;;;;x
b_radkokinko_2;radkokinko;radkokinko;radkokinko;;radkokinko;;;;;;;;;x
b_radkokinko_2_adj;radkokinkian;;radkokinker;;;;;;;;;;;x
b_radkokinko_3;radkokinko;radkokinko;radkokinko;;radkokinko;;;;;;;;;x
b_radkokinko_3_adj;radkokinkian;;radkokinker;;;;;;;;;;;x
b_radkokinko_4;radkokinko;radkokinko;radkokinko;;radkokinko;;;;;;;;;x
b_radkokinko_4_adj;radkokinkian;;radkokinker;;;;;;;;;;;x
b_ralerdon;ralerdon;ralerdon;ralerdon;;ralerdon;;;;;;;;;x
b_ralerdon_adj;ralerdonian;;ralerdoner;;;;;;;;;;;x
b_ralerdon_2;ralerdon;ralerdon;ralerdon;;ralerdon;;;;;;;;;x
b_ralerdon_2_adj;ralerdonian;;ralerdoner;;;;;;;;;;;x
b_ralerdon_3;ralerdon;ralerdon;ralerdon;;ralerdon;;;;;;;;;x
b_ralerdon_3_adj;ralerdonian;;ralerdoner;;;;;;;;;;;x
b_ralerdon_4;ralerdon;ralerdon;ralerdon;;ralerdon;;;;;;;;;x
