#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_anye;anye;anye;anye;;anye;;;;;;;;;x
c_anye_adj;anyean;;aner;;;;;;;;;;;x
c_bunijne;bunijne;bunijne;bunijne;;bunijne;;;;;;;;;x
c_bunijne_adj;bunijnean;;bunijner;;;;;;;;;;;x
c_byua;byua;byua;byua;;byua;;;;;;;;;x
c_byua_adj;byuan;;ber;;;;;;;;;;;x
c_byyako;byyako;byyako;byyako;;byyako;;;;;;;;;x
c_byyako_adj;byyakian;;byyaker;;;;;;;;;;;x
c_dyir;dyir;dyir;dyir;;dyir;;;;;;;;;x
c_dyir_adj;dyirian;;dyirer;;;;;;;;;;;x
c_ehoosith;ehoosith;ehoosith;ehoosith;;ehoosith;;;;;;;;;x
c_ehoosith_adj;ehoosithian;;ehoosither;;;;;;;;;;;x
c_ewyaz;ewyaz;ewyaz;ewyaz;;ewyaz;;;;;;;;;x
c_ewyaz_adj;ewyazian;;ewyazer;;;;;;;;;;;x
c_kanata;kanata;kanata;kanata;;kanata;;;;;;;;;x
c_kanata_adj;kanatan;;kanater;;;;;;;;;;;x
c_kenanay;kenanay;kenanay;kenanay;;kenanay;;;;;;;;;x
c_kenanay_adj;kenanaian;;kenanaer;;;;;;;;;;;x
c_kiartas;kiartas;kiartas;kiartas;;kiartas;;;;;;;;;x
c_kiartas_adj;kiartasian;;kiartaser;;;;;;;;;;;x
c_kicijne;kicijne;kicijne;kicijne;;kicijne;;;;;;;;;x
c_kicijne_adj;kicijnean;;kicijner;;;;;;;;;;;x
c_koka;koka;koka;koka;;koka;;;;;;;;;x
c_koka_adj;kokan;;koker;;;;;;;;;;;x
c_koruyat;koruyat;koruyat;koruyat;;koruyat;;;;;;;;;x
c_koruyat_adj;koruyatian;;koruyater;;;;;;;;;;;x
c_kyaz;kyaz;kyaz;kyaz;;kyaz;;;;;;;;;x
c_kyaz_adj;kyazian;;kyazer;;;;;;;;;;;x
c_lanata;lanata;lanata;lanata;;lanata;;;;;;;;;x
c_lanata_adj;lanatan;;lanater;;;;;;;;;;;x
c_nakaca;nakaca;nakaca;nakaca;;nakaca;;;;;;;;;x
c_nakaca_adj;nakacan;;nakacer;;;;;;;;;;;x
c_qaduyat;qaduyat;qaduyat;qaduyat;;qaduyat;;;;;;;;;x
c_qaduyat_adj;qaduyatian;;qaduyater;;;;;;;;;;;x
c_radkokinko;radkokinko;radkokinko;radkokinko;;radkokinko;;;;;;;;;x
c_radkokinko_adj;radkokinkian;;radkokinker;;;;;;;;;;;x
c_ralerdon;ralerdon;ralerdon;ralerdon;;ralerdon;;;;;;;;;x
c_ralerdon_adj;ralerdonian;;ralerdoner;;;;;;;;;;;x
c_ratako;ratako;ratako;ratako;;ratako;;;;;;;;;x
c_ratako_adj;ratakian;;rataker;;;;;;;;;;;x
c_remetata;remetata;remetata;remetata;;remetata;;;;;;;;;x
c_remetata_adj;remetatan;;remetater;;;;;;;;;;;x
c_riafako;riafako;riafako;riafako;;riafako;;;;;;;;;x
c_riafako_adj;riafakian;;riafaker;;;;;;;;;;;x
c_rinihr;rinihr;rinihr;rinihr;;rinihr;;;;;;;;;x
c_rinihr_adj;rinihrian;;rinihrer;;;;;;;;;;;x
c_sedosrau;sedosrau;sedosrau;sedosrau;;sedosrau;;;;;;;;;x
c_sedosrau_adj;sedosrian;;sedosrer;;;;;;;;;;;x
c_selyao;selyao;selyao;selyao;;selyao;;;;;;;;;x
c_selyao_adj;selian;;seler;;;;;;;;;;;x
c_sinulay;sinulay;sinulay;sinulay;;sinulay;;;;;;;;;x
c_sinulay_adj;sinulaian;;sinulaer;;;;;;;;;;;x
c_tamega;tamega;tamega;tamega;;tamega;;;;;;;;;x
c_tamega_adj;tamegan;;tameger;;;;;;;;;;;x
c_tamsouz;tamsouz;tamsouz;tamsouz;;tamsouz;;;;;;;;;x
c_tamsouz_adj;tamsouzian;;tamsouzer;;;;;;;;;;;x
c_tatihr;tatihr;tatihr;tatihr;;tatihr;;;;;;;;;x
c_tatihr_adj;tatihrian;;tatihrer;;;;;;;;;;;x
c_tatijne;tatijne;tatijne;tatijne;;tatijne;;;;;;;;;x
c_tatijne_adj;tatijnean;;tatijner;;;;;;;;;;;x
c_tedaytas;tedaytas;tedaytas;tedaytas;;tedaytas;;;;;;;;;x
c_tedaytas_adj;tedaytasian;;tedaytaser;;;;;;;;;;;x
c_tetuhan;tetuhan;tetuhan;tetuhan;;tetuhan;;;;;;;;;x
c_tetuhan_adj;tetuhanian;;tetuhaner;;;;;;;;;;;x
c_wagilf;wagilf;wagilf;wagilf;;wagilf;;;;;;;;;x
c_wagilf_adj;wagilfian;;wagilfer;;;;;;;;;;;x
c_wariraz;wariraz;wariraz;wariraz;;wariraz;;;;;;;;;x
c_wariraz_adj;warirazian;;warirazer;;;;;;;;;;;x
