#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_bertuzzi;bertuzzi;bertuzzi;bertuzzi;;bertuzzi;;;;;;;;;x
d_bertuzzi_adj;bertuzzian;;bertuzzer;;;;;;;;;;;x
d_sicilia;Sicilia;Sicilia;Sicilia;;Sicilia;;;;;;;;;x
d_sicilia_adj;Sicilian;;siciler;;;;;;;;;;;x
d_storto;storto;storto;storto;;storto;;;;;;;;;x
d_storto_adj;stortian;;storter;;;;;;;;;;;x
d_tartaglia;tartaglia;tartaglia;tartaglia;;tartaglia;;;;;;;;;x
d_tartaglia_adj;tartaglian;;tartagler;;;;;;;;;;;x
d_zucca;zucca;zucca;zucca;;zucca;;;;;;;;;x
d_zucca_adj;zuccan;;zuccer;;;;;;;;;;;x
