#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aalkass;Aalkass;Aalkass;Aalkass;;Aalkass;;;;;;;;;x
b_aalkass_adj;Aalkassian;;aalkasser;;;;;;;;;;;x
b_acaliztli;Acaliztli;Acaliztli;Acaliztli;;Acaliztli;;;;;;;;;x
b_acaliztli_adj;Acaliztlian;;acaliztler;;;;;;;;;;;x
b_agoukh;agoukh;agoukh;agoukh;;agoukh;;;;;;;;;x
b_agoukh_adj;agoukhian;;agoukher;;;;;;;;;;;x
b_agoukh_2;agoukh;agoukh;agoukh;;agoukh;;;;;;;;;x
b_agoukh_2_adj;agoukhian;;agoukher;;;;;;;;;;;x
b_agoukh_3;agoukh;agoukh;agoukh;;agoukh;;;;;;;;;x
b_agoukh_3_adj;agoukhian;;agoukher;;;;;;;;;;;x
b_ahuilin;Ahuilin;Ahuilin;Ahuilin;;Ahuilin;;;;;;;;;x
b_ahuilin_adj;Ahuilinian;;ahuiliner;;;;;;;;;;;x
b_akkzuz;Akkzuz;Akkzuz;Akkzuz;;Akkzuz;;;;;;;;;x
b_akkzuz_adj;Akkzuzian;;akkzuzer;;;;;;;;;;;x
b_alkar_ar;Alkar Ar;Alkar Ar;Alkar Ar;;Alkar Ar;;;;;;;;;x
b_alkar_ar_adj;Alkar Arian;;Alkar Arer;;;;;;;;;;;x
b_alzihmouz;Alzihmouz;Alzihmouz;Alzihmouz;;Alzihmouz;;;;;;;;;x
b_alzihmouz_adj;Alzihmouzian;;alzihmouzer;;;;;;;;;;;x
b_arinim;arinim;arinim;arinim;;arinim;;;;;;;;;x
b_arinim_adj;arinimian;;arinimer;;;;;;;;;;;x
b_arinim_2;arinim;arinim;arinim;;arinim;;;;;;;;;x
b_arinim_2_adj;arinimian;;arinimer;;;;;;;;;;;x
b_arinim_3;arinim;arinim;arinim;;arinim;;;;;;;;;x
b_arinim_3_adj;arinimian;;arinimer;;;;;;;;;;;x
b_arrkedrath;Arrkedrath;Arrkedrath;Arrkedrath;;Arrkedrath;;;;;;;;;x
b_arrkedrath_adj;Arrkedrathian;;arrkedrather;;;;;;;;;;;x
b_begaleid;begaleid;begaleid;begaleid;;begaleid;;;;;;;;;x
b_begaleid_adj;begaleidian;;begaleider;;;;;;;;;;;x
b_begaleid_2;begaleid;begaleid;begaleid;;begaleid;;;;;;;;;x
b_begaleid_2_adj;begaleidian;;begaleider;;;;;;;;;;;x
b_bimar;bimar;bimar;bimar;;bimar;;;;;;;;;x
b_bimar_adj;bimarian;;bimarer;;;;;;;;;;;x
b_bimar_2;bimar;bimar;bimar;;bimar;;;;;;;;;x
b_bimar_2_adj;bimarian;;bimarer;;;;;;;;;;;x
b_chicomeyah;Chicomeyah;Chicomeyah;Chicomeyah;;Chicomeyah;;;;;;;;;x
b_chicomeyah_adj;Chicomeyahian;;chicomeyaher;;;;;;;;;;;x
b_chimalli;Chimalli;Chimalli;Chimalli;;Chimalli;;;;;;;;;x
b_chimalli_adj;Chimallian;;chimaller;;;;;;;;;;;x
b_coszcatl;Coszcatl;Coszcatl;Coszcatl;;Coszcatl;;;;;;;;;x
b_coszcatl_adj;Coszcatlian;;coszcatler;;;;;;;;;;;x
b_cualli;Cualli;Cualli;Cualli;;Cualli;;;;;;;;;x
b_cualli_adj;Cuallian;;cualler;;;;;;;;;;;x
b_cuicatl;Cuicatl;Cuicatl;Cuicatl;;Cuicatl;;;;;;;;;x
b_cuicatl_adj;Cuicatlian;;cuicatler;;;;;;;;;;;x
b_dalamc;dalamc;dalamc;dalamc;;dalamc;;;;;;;;;x
b_dalamc_adj;dalamcian;;dalamcer;;;;;;;;;;;x
b_dalamc_2;dalamc;dalamc;dalamc;;dalamc;;;;;;;;;x
b_dalamc_2_adj;dalamcian;;dalamcer;;;;;;;;;;;x
b_dalamc_3;dalamc;dalamc;dalamc;;dalamc;;;;;;;;;x
b_dalamc_3_adj;dalamcian;;dalamcer;;;;;;;;;;;x
b_dinahus;dinahus;dinahus;dinahus;;dinahus;;;;;;;;;x
b_dinahus_adj;dinahusian;;dinahuser;;;;;;;;;;;x
b_dinahus_2;dinahus;dinahus;dinahus;;dinahus;;;;;;;;;x
b_dinahus_2_adj;dinahusian;;dinahuser;;;;;;;;;;;x
b_dinahus_3;dinahus;dinahus;dinahus;;dinahus;;;;;;;;;x
b_dinahus_3_adj;dinahusian;;dinahuser;;;;;;;;;;;x
b_dinoukh;dinoukh;dinoukh;dinoukh;;dinoukh;;;;;;;;;x
b_dinoukh_adj;dinoukhian;;dinoukher;;;;;;;;;;;x
b_dinoukh_2;dinoukh;dinoukh;dinoukh;;dinoukh;;;;;;;;;x
b_dinoukh_2_adj;dinoukhian;;dinoukher;;;;;;;;;;;x
b_ejosase;ejosase;ejosase;ejosase;;ejosase;;;;;;;;;x
b_ejosase_adj;ejosasean;;ejosaser;;;;;;;;;;;x
b_ekegelg;ekegelg;ekegelg;ekegelg;;ekegelg;;;;;;;;;x
b_ekegelg_adj;ekegelgian;;ekegelger;;;;;;;;;;;x
