#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abahnuj;Abahnuj;Abahnuj;Abahnuj;;Abahnuj;;;;;;;;;x
b_abahnuj_adj;Abahnujian;;abahnujer;;;;;;;;;;;x
b_abdindost;Abdindost;Abdindost;Abdindost;;Abdindost;;;;;;;;;x
b_abdindost_adj;Abdindostian;;abdindoster;;;;;;;;;;;x
b_abqacca;Abqacca;Abqacca;Abqacca;;Abqacca;;;;;;;;;x
b_abqacca_adj;Abqaccan;;abqaccer;;;;;;;;;;;x
b_afamadi;Afamadi;Afamadi;Afamadi;;Afamadi;;;;;;;;;x
b_afamadi_adj;Afamadian;;afamader;;;;;;;;;;;x
b_agahalla;Agahalla;Agahalla;Agahalla;;Agahalla;;;;;;;;;x
b_agahalla_adj;Agahallan;;agahaller;;;;;;;;;;;x
b_agatikh;Agatikh;Agatikh;Agatikh;;Agatikh;;;;;;;;;x
b_agatikh_adj;Agatikhian;;agatikher;;;;;;;;;;;x
b_agilpasa;Agilpasa;Agilpasa;Agilpasa;;Agilpasa;;;;;;;;;x
b_agilpasa_adj;Agilpasan;;agilpaser;;;;;;;;;;;x
b_agisova;Agisova;Agisova;Agisova;;Agisova;;;;;;;;;x
b_agisova_adj;Agisovan;;agisover;;;;;;;;;;;x
b_aglankum;Aglankum;Aglankum;Aglankum;;Aglankum;;;;;;;;;x
b_aglankum_adj;Aglankumian;;aglankumer;;;;;;;;;;;x
b_akosan;Akosan;Akosan;Akosan;;Akosan;;;;;;;;;x
b_akosan_adj;Akosanian;;akosaner;;;;;;;;;;;x
b_al_annardah;Al Annardah;Al Annardah;Al Annardah;;Al Annardah;;;;;;;;;x
b_al_annardah_adj;Al Annardahian;;Al Annardaher;;;;;;;;;;;x
b_al_artariyah;Al Artariyah;Al Artariyah;Al Artariyah;;Al Artariyah;;;;;;;;;x
b_al_artariyah_adj;Al Artariyahian;;Al Artariyaher;;;;;;;;;;;x
b_al_artarout;Al Artarout;Al Artarout;Al Artarout;;Al Artarout;;;;;;;;;x
b_al_artarout_adj;Al Artaroutian;;Al Artarouter;;;;;;;;;;;x
b_al_bahludiyah;Al Bahludiyah;Al Bahludiyah;Al Bahludiyah;;Al Bahludiyah;;;;;;;;;x
b_al_bahludiyah_adj;Al Bahludiyahian;;Al Bahludiyaher;;;;;;;;;;;x
b_al_banomah;Al Banomah;Al Banomah;Al Banomah;;Al Banomah;;;;;;;;;x
b_al_banomah_adj;Al Banomahian;;Al Banomaher;;;;;;;;;;;x
b_al_diwatbah;Al Diwatbah;Al Diwatbah;Al Diwatbah;;Al Diwatbah;;;;;;;;;x
b_al_diwatbah_adj;Al Diwatbahian;;Al Diwatbaher;;;;;;;;;;;x
b_al_fallufar;Al Fallufar;Al Fallufar;Al Fallufar;;Al Fallufar;;;;;;;;;x
b_al_fallufar_adj;Al Fallufarian;;Al Fallufarer;;;;;;;;;;;x
b_al_faydah;Al-Faydah;Al-Faydah;Al-Faydah;;Al-Faydah;;;;;;;;;x
b_al_faydah_adj;Al-Faydahian;;al-faydaher;;;;;;;;;;;x
b_al_fazeh;Al Fazeh;Al Fazeh;Al Fazeh;;Al Fazeh;;;;;;;;;x
b_al_fazeh_adj;Al Fazehian;;Al Fazeher;;;;;;;;;;;x
b_al_hubid;Al-Hubid;Al-Hubid;Al-Hubid;;Al-Hubid;;;;;;;;;x
b_al_hubid_adj;Al-Hubidian;;al-hubider;;;;;;;;;;;x
b_al_jafehyan;Al Jafehyan;Al Jafehyan;Al Jafehyan;;Al Jafehyan;;;;;;;;;x
b_al_jafehyan_adj;Al Jafehyanian;;Al Jafehyaner;;;;;;;;;;;x
b_al_jarracha;Al-Jarracha;Al-Jarracha;Al-Jarracha;;Al-Jarracha;;;;;;;;;x
b_al_jarracha_adj;Al-Jarrachan;;al-jarracher;;;;;;;;;;;x
b_al_jarratra;Al-Jarratra;Al-Jarratra;Al-Jarratra;;Al-Jarratra;;;;;;;;;x
b_al_jarratra_adj;Al-Jarratran;;al-jarratrer;;;;;;;;;;;x
b_al_kanaghada;Al-Kanaghada;Al-Kanaghada;Al-Kanaghada;;Al-Kanaghada;;;;;;;;;x
b_al_kanaghada_adj;Al-Kanaghadan;;al-kanaghader;;;;;;;;;;;x
b_al_khurma;Al Khurma;Al Khurma;Al Khurma;;Al Khurma;;;;;;;;;x
b_al_khurma_adj;Al Khurman;;Al Khurmer;;;;;;;;;;;x
b_al_maralayn;Al-Maralayn;Al-Maralayn;Al-Maralayn;;Al-Maralayn;;;;;;;;;x
b_al_maralayn_adj;Al-Maralaynian;;al-maralayner;;;;;;;;;;;x
b_al_miqdalujah;Al Miqdalujah;Al Miqdalujah;Al Miqdalujah;;Al Miqdalujah;;;;;;;;;x
b_al_miqdalujah_adj;Al Miqdalujahian;;Al Miqdalujaher;;;;;;;;;;;x
b_al_nadr;Al Nadr;Al Nadr;Al Nadr;;Al Nadr;;;;;;;;;x
b_al_nadr_adj;Al Nadrian;;Al Nadrer;;;;;;;;;;;x
b_al_olarma;Al Olarma;Al Olarma;Al Olarma;;Al Olarma;;;;;;;;;x
b_al_olarma_adj;Al Olarman;;Al Olarmer;;;;;;;;;;;x
b_al_qaidhimiya;Al-Qa'idhimiya;Al-Qa'idhimiya;Al-Qa'idhimiya;;Al-Qa'idhimiya;;;;;;;;;x
b_al_qaidhimiya_adj;Al-Qa'idhimiyan;;al-qa'idhimer;;;;;;;;;;;x
b_aliraz;Aliraz;Aliraz;Aliraz;;Aliraz;;;;;;;;;x
b_aliraz_adj;Alirazian;;alirazer;;;;;;;;;;;x
b_amamarit;Amamarit;Amamarit;Amamarit;;Amamarit;;;;;;;;;x
b_amamarit_adj;Amamaritian;;amamariter;;;;;;;;;;;x
b_andist;Andist;Andist;Andist;;Andist;;;;;;;;;x
b_andist_adj;Andistian;;andister;;;;;;;;;;;x
b_aniceda;Aniceda;Aniceda;Aniceda;;Aniceda;;;;;;;;;x
b_aniceda_adj;Anicedan;;aniceder;;;;;;;;;;;x
b_ar_rarhinah;Ar-Rarhinah;Ar-Rarhinah;Ar-Rarhinah;;Ar-Rarhinah;;;;;;;;;x
b_ar_rarhinah_adj;Ar-Rarhinahian;;ar-rarhinaher;;;;;;;;;;;x
b_arinha;Arinha;Arinha;Arinha;;Arinha;;;;;;;;;x
b_arinha_adj;Arinhan;;arinher;;;;;;;;;;;x
b_arirdah;Arirdah;Arirdah;Arirdah;;Arirdah;;;;;;;;;x
b_arirdah_adj;Arirdahian;;arirdaher;;;;;;;;;;;x
b_arrajar;Arrajar;Arrajar;Arrajar;;Arrajar;;;;;;;;;x
b_arrajar_adj;Arrajarian;;arrajarer;;;;;;;;;;;x
b_as_suth;As Suth;As Suth;As Suth;;As Suth;;;;;;;;;x
b_as_suth_adj;As Suthian;;As Suther;;;;;;;;;;;x
b_asaker;Asaker;Asaker;Asaker;;Asaker;;;;;;;;;x
b_asaker_adj;Asakerian;;asakerer;;;;;;;;;;;x
b_asas;Asas;Asas;Asas;;Asas;;;;;;;;;x
b_asas_adj;Asasian;;asaser;;;;;;;;;;;x
b_at_tadin;At Tadin;At Tadin;At Tadin;;At Tadin;;;;;;;;;x
b_at_tadin_adj;At Tadinian;;At Tadiner;;;;;;;;;;;x
b_avallar;Avallar;Avallar;Avallar;;Avallar;;;;;;;;;x
b_avallar_adj;Avallarian;;avallarer;;;;;;;;;;;x
b_awlanater;Awlanater;Awlanater;Awlanater;;Awlanater;;;;;;;;;x
b_awlanater_adj;Awlanaterian;;awlanaterer;;;;;;;;;;;x
b_az_zayditra;Az-Zayditra;Az-Zayditra;Az-Zayditra;;Az-Zayditra;;;;;;;;;x
b_az_zayditra_adj;Az-Zayditran;;az-zayditrer;;;;;;;;;;;x
b_az_zusiyyah;Az Zusiyyah;Az Zusiyyah;Az Zusiyyah;;Az Zusiyyah;;;;;;;;;x
b_az_zusiyyah_adj;Az Zusiyyahian;;Az Zusiyyaher;;;;;;;;;;;x
b_bagarhisar;Bagarhisar;Bagarhisar;Bagarhisar;;Bagarhisar;;;;;;;;;x
b_bagarhisar_adj;Bagarhisarian;;bagarhisarer;;;;;;;;;;;x
b_baibish;Baibish;Baibish;Baibish;;Baibish;;;;;;;;;x
b_baibish_adj;Baibishian;;baibisher;;;;;;;;;;;x
b_baisrah;Baisrah;Baisrah;Baisrah;;Baisrah;;;;;;;;;x
b_baisrah_adj;Baisrahian;;baisraher;;;;;;;;;;;x
b_bala;Bala;Bala;Bala;;Bala;;;;;;;;;x
b_bala_adj;Balan;;baler;;;;;;;;;;;x
b_baqumadi;Baqumadi;Baqumadi;Baqumadi;;Baqumadi;;;;;;;;;x
b_baqumadi_adj;Baqumadian;;baqumader;;;;;;;;;;;x
b_barilen;Barilen;Barilen;Barilen;;Barilen;;;;;;;;;x
b_barilen_adj;Barilenian;;barilener;;;;;;;;;;;x
b_behbazd;Behbazd;Behbazd;Behbazd;;Behbazd;;;;;;;;;x
b_behbazd_adj;Behbazdian;;behbazder;;;;;;;;;;;x
b_bijagheh;Bijagheh;Bijagheh;Bijagheh;;Bijagheh;;;;;;;;;x
b_bijagheh_adj;Bijaghehian;;bijagheher;;;;;;;;;;;x
b_bucadi;Bucadi;Bucadi;Bucadi;;Bucadi;;;;;;;;;x
b_bucadi_adj;Bucadian;;bucader;;;;;;;;;;;x
b_bustarran;Bustarran;Bustarran;Bustarran;;Bustarran;;;;;;;;;x
b_bustarran_adj;Bustarranian;;bustarraner;;;;;;;;;;;x
b_cakizkale;Çakizkale;Çakizkale;Çakizkale;;Çakizkale;;;;;;;;;x
b_cakizkale_adj;Çakizkalean;;çakizkaler;;;;;;;;;;;x
b_chariyah;Chariyah;Chariyah;Chariyah;;Chariyah;;;;;;;;;x
b_chariyah_adj;Chariyahian;;chariyaher;;;;;;;;;;;x
b_daurebia;Daurebia;Daurebia;Daurebia;;Daurebia;;;;;;;;;x
b_daurebia_adj;Daurebian;;daureber;;;;;;;;;;;x
b_dedendost;Dedendost;Dedendost;Dedendost;;Dedendost;;;;;;;;;x
b_dedendost_adj;Dedendostian;;dedendoster;;;;;;;;;;;x
b_deinayem;Deinayem;Deinayem;Deinayem;;Deinayem;;;;;;;;;x
