#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aldermore;Aldermore;Aldermore;Aldermore;;Aldermore;;;;;;;;;x
b_aldermore_adj;Aldermorean;;aldermorer;;;;;;;;;;;x
b_baneton;Baneton;Baneton;Baneton;;Baneton;;;;;;;;;x
b_baneton_adj;Banetonian;;banetoner;;;;;;;;;;;x
b_bareridge;Bareridge;Bareridge;Bareridge;;Bareridge;;;;;;;;;x
b_bareridge_adj;Bareridgean;;bareridger;;;;;;;;;;;x
b_bittermire;Bittermire;Bittermire;Bittermire;;Bittermire;;;;;;;;;x
b_bittermire_adj;Bittermirean;;bittermirer;;;;;;;;;;;x
b_blighburgh;Blighburgh;Blighburgh;Blighburgh;;Blighburgh;;;;;;;;;x
b_blighburgh_adj;Blighburghian;;blighburgher;;;;;;;;;;;x
b_boonford;Boonford;Boonford;Boonford;;Boonford;;;;;;;;;x
b_boonford_adj;Boonfordian;;boonforder;;;;;;;;;;;x
b_boonton;Boonton;Boonton;Boonton;;Boonton;;;;;;;;;x
b_boonton_adj;Boontonian;;boontoner;;;;;;;;;;;x
b_browmere;Browmere;Browmere;Browmere;;Browmere;;;;;;;;;x
b_browmere_adj;Browmerean;;browmerer;;;;;;;;;;;x
b_browridge;Browridge;Browridge;Browridge;;Browridge;;;;;;;;;x
b_browridge_adj;Browridgean;;browridger;;;;;;;;;;;x
b_burnfort;Burnfort;Burnfort;Burnfort;;Burnfort;;;;;;;;;x
b_burnfort_adj;Burnfortian;;burnforter;;;;;;;;;;;x
b_charringburg;Charringburg;Charringburg;Charringburg;;Charringburg;;;;;;;;;x
b_charringburg_adj;Charringburgian;;charringburger;;;;;;;;;;;x
b_charringburg_2;Charringburg;Charringburg;Charringburg;;Charringburg;;;;;;;;;x
b_charringburg_2_adj;Charringburgian;;charringburger;;;;;;;;;;;x
b_charringmourn;Charringmourn;Charringmourn;Charringmourn;;Charringmourn;;;;;;;;;x
b_charringmourn_adj;Charringmournian;;charringmourner;;;;;;;;;;;x
b_clearmoure;Clearmoure;Clearmoure;Clearmoure;;Clearmoure;;;;;;;;;x
b_clearmoure_adj;Clearmourean;;clearmourer;;;;;;;;;;;x
b_clearmoure_2;Clearmoure;Clearmoure;Clearmoure;;Clearmoure;;;;;;;;;x
b_clearmoure_2_adj;Clearmourean;;clearmourer;;;;;;;;;;;x
b_coldmourn;Coldmourn;Coldmourn;Coldmourn;;Coldmourn;;;;;;;;;x
b_coldmourn_adj;Coldmournian;;coldmourner;;;;;;;;;;;x
b_darkbrooke;Darkbrooke;Darkbrooke;Darkbrooke;;Darkbrooke;;;;;;;;;x
b_darkbrooke_adj;Darkbrookean;;darkbrooker;;;;;;;;;;;x
b_dawnmoor;Dawnmoor;Dawnmoor;Dawnmoor;;Dawnmoor;;;;;;;;;x
b_dawnmoor_adj;Dawnmoorian;;dawnmoorer;;;;;;;;;;;x
b_dewford;Dewford;Dewford;Dewford;;Dewford;;;;;;;;;x
b_dewford_adj;Dewfordian;;dewforder;;;;;;;;;;;x
b_dustton;Dustton;Dustton;Dustton;;Dustton;;;;;;;;;x
b_dustton_adj;Dusttonian;;dusttoner;;;;;;;;;;;x
b_embermoor;Embermoor;Embermoor;Embermoor;;Embermoor;;;;;;;;;x
b_embermoor_adj;Embermoorian;;embermoorer;;;;;;;;;;;x
b_farrowmire;Farrowmire;Farrowmire;Farrowmire;;Farrowmire;;;;;;;;;x
b_farrowmire_adj;Farrowmirean;;farrowmirer;;;;;;;;;;;x
b_flawfort;Flawfort;Flawfort;Flawfort;;Flawfort;;;;;;;;;x
b_flawfort_adj;Flawfortian;;flawforter;;;;;;;;;;;x
b_forefall;Forefall;Forefall;Forefall;;Forefall;;;;;;;;;x
b_forefall_adj;Forefallian;;forefaller;;;;;;;;;;;x
b_forgerest;Forgerest;Forgerest;Forgerest;;Forgerest;;;;;;;;;x
b_forgerest_adj;Forgerestian;;forgerester;;;;;;;;;;;x
b_ghosford;Ghosford;Ghosford;Ghosford;;Ghosford;;;;;;;;;x
b_ghosford_adj;Ghosfordian;;ghosforder;;;;;;;;;;;x
b_glummoor;Glummoor;Glummoor;Glummoor;;Glummoor;;;;;;;;;x
b_glummoor_adj;Glummoorian;;glummoorer;;;;;;;;;;;x
b_gorethorn;Gorethorn;Gorethorn;Gorethorn;;Gorethorn;;;;;;;;;x
b_gorethorn_adj;Gorethornian;;gorethorner;;;;;;;;;;;x
b_hardrest;Hardrest;Hardrest;Hardrest;;Hardrest;;;;;;;;;x
b_hardrest_adj;Hardrestian;;hardrester;;;;;;;;;;;x
b_illmire;Illmire;Illmire;Illmire;;Illmire;;;;;;;;;x
b_illmire_adj;Illmirean;;illmirer;;;;;;;;;;;x
b_illthorn;Illthorn;Illthorn;Illthorn;;Illthorn;;;;;;;;;x
b_illthorn_adj;Illthornian;;illthorner;;;;;;;;;;;x
b_kilford;Kilford;Kilford;Kilford;;Kilford;;;;;;;;;x
b_kilford_adj;Kilfordian;;kilforder;;;;;;;;;;;x
b_lonmoor;Lonmoor;Lonmoor;Lonmoor;;Lonmoor;;;;;;;;;x
b_lonmoor_adj;Lonmoorian;;lonmoorer;;;;;;;;;;;x
b_lowburgh;Lowburgh;Lowburgh;Lowburgh;;Lowburgh;;;;;;;;;x
b_lowburgh_adj;Lowburghian;;lowburgher;;;;;;;;;;;x
b_madburg;Madburg;Madburg;Madburg;;Madburg;;;;;;;;;x
b_madburg_adj;Madburgian;;madburger;;;;;;;;;;;x
b_malifall;Malifall;Malifall;Malifall;;Malifall;;;;;;;;;x
b_malifall_adj;Malifallian;;malifaller;;;;;;;;;;;x
b_murkmourn;Murkmourn;Murkmourn;Murkmourn;;Murkmourn;;;;;;;;;x
b_murkmourn_adj;Murkmournian;;murkmourner;;;;;;;;;;;x
b_necbrooke;Necbrooke;Necbrooke;Necbrooke;;Necbrooke;;;;;;;;;x
b_necbrooke_adj;Necbrookean;;necbrooker;;;;;;;;;;;x
b_nighbrooke;Nighbrooke;Nighbrooke;Nighbrooke;;Nighbrooke;;;;;;;;;x
b_nighbrooke_adj;Nighbrookean;;nighbrooker;;;;;;;;;;;x
b_ripmourn;Ripmourn;Ripmourn;Ripmourn;;Ripmourn;;;;;;;;;x
b_ripmourn_adj;Ripmournian;;ripmourner;;;;;;;;;;;x
b_ripridge;Ripridge;Ripridge;Ripridge;;Ripridge;;;;;;;;;x
b_ripridge_adj;Ripridgean;;ripridger;;;;;;;;;;;x
b_shardmire;Shardmire;Shardmire;Shardmire;;Shardmire;;;;;;;;;x
b_shardmire_adj;Shardmirean;;shardmirer;;;;;;;;;;;x
b_shelbrook;Shelbrook;Shelbrook;Shelbrook;;Shelbrook;;;;;;;;;x
b_shelbrook_adj;Shelbrookian;;shelbrooker;;;;;;;;;;;x
b_shelgate;Shelgate;Shelgate;Shelgate;;Shelgate;;;;;;;;;x
b_shelgate_adj;Shelgatean;;shelgater;;;;;;;;;;;x
b_shellbrooke;Shellbrooke;Shellbrooke;Shellbrooke;;Shellbrooke;;;;;;;;;x
b_shellbrooke_adj;Shellbrookean;;shellbrooker;;;;;;;;;;;x
b_shellthorn;Shellthorn;Shellthorn;Shellthorn;;Shellthorn;;;;;;;;;x
b_shellthorn_adj;Shellthornian;;shellthorner;;;;;;;;;;;x
b_shelmoor;Shelmoor;Shelmoor;Shelmoor;;Shelmoor;;;;;;;;;x
b_shelmoor_adj;Shelmoorian;;shelmoorer;;;;;;;;;;;x
b_slagate;Slagate;Slagate;Slagate;;Slagate;;;;;;;;;x
b_slagate_adj;Slagatean;;slagater;;;;;;;;;;;x
b_slatebrooke;Slatebrooke;Slatebrooke;Slatebrooke;;Slatebrooke;;;;;;;;;x
b_slatebrooke_adj;Slatebrookean;;slatebrooker;;;;;;;;;;;x
b_spiridge;Spiridge;Spiridge;Spiridge;;Spiridge;;;;;;;;;x
b_spiridge_adj;Spiridgean;;spiridger;;;;;;;;;;;x
b_talontown;Talontown;Talontown;Talontown;;Talontown;;;;;;;;;x
b_talontown_adj;Talontownian;;talontowner;;;;;;;;;;;x
b_vinford;Vinford;Vinford;Vinford;;Vinford;;;;;;;;;x
b_vinford_adj;Vinfordian;;vinforder;;;;;;;;;;;x
b_witherbrooke;Witherbrooke;Witherbrooke;Witherbrooke;;Witherbrooke;;;;;;;;;x
b_witherbrooke_adj;Witherbrookean;;witherbrooker;;;;;;;;;;;x
b_woemoor;Woemoor;Woemoor;Woemoor;;Woemoor;;;;;;;;;x
b_woemoor_adj;Woemoorian;;woemoorer;;;;;;;;;;;x
