#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_emadalen;Emadalen;Emadalen;Emadalen;;Emadalen;;;;;;;;;x
c_emadalen_adj;Emadalenian;;emadalener;;;;;;;;;;;x
c_keopina;Keopina;Keopina;Keopina;;Keopina;;;;;;;;;x
c_keopina_adj;Keopinan;;keopiner;;;;;;;;;;;x
c_lenira;Lenira;Lenira;Lenira;;Lenira;;;;;;;;;x
c_lenira_adj;Leniran;;lenirer;;;;;;;;;;;x
c_raysa;Raysa;Raysa;Raysa;;Raysa;;;;;;;;;x
c_raysa_adj;Raysan;;rayser;;;;;;;;;;;x
c_ruarmas;Ruarmas;Ruarmas;Ruarmas;;Ruarmas;;;;;;;;;x
c_ruarmas_adj;Ruarmasian;;ruarmaser;;;;;;;;;;;x
c_silibor;Silibor;Silibor;Silibor;;Silibor;;;;;;;;;x
c_silibor_adj;Siliborian;;siliborer;;;;;;;;;;;x
c_sonelen;Sonelen;Sonelen;Sonelen;;Sonelen;;;;;;;;;x
c_sonelen_adj;Sonelenian;;sonelener;;;;;;;;;;;x
c_tagilina;Tagilina;Tagilina;Tagilina;;Tagilina;;;;;;;;;x
c_tagilina_adj;Tagilinan;;tagiliner;;;;;;;;;;;x
c_tagilira;Tagilira;Tagilira;Tagilira;;Tagilira;;;;;;;;;x
c_tagilira_adj;Tagiliran;;tagilirer;;;;;;;;;;;x
c_walatha;Walatha;Walatha;Walatha;;Walatha;;;;;;;;;x
c_walatha_adj;Walathan;;walather;;;;;;;;;;;x
c_wetina;Wetina;Wetina;Wetina;;Wetina;;;;;;;;;x
c_wetina_adj;Wetinan;;wetiner;;;;;;;;;;;x
