bodr;Bodr
katd;Katd
nans;Nans
quss;Quss
wuns;Wuns
leps;Leps
nurs;Nurs
bers;Bers
buri;Buri
dasa;Dasa
amams;Amams
sigs;Sigs
tisan;Tisan
tarew;Tarew
lalna;Lalna
tew;Tew
ka;Ka
kisew;Kisew
nalew;Nalew
kalka;Kalka
tisew;Tisew
wa;Wa
diska;Diska
ra;Ra
tiska;Tiska
ehlew;Ehlew
bew;Bew
ta;Ta
wisew;Wisew
navl;Navl
sirka;Sirka
ba;Ba
dirna;Dirna
narl;Narl
kavl;Kavl
sa;Sa
saetl;Saetl
tavl;Tavl
berra;Berra
kurl;Kurl
barbarian;Tiradi
norse;Sotcaennon
pagan;Cartontron
christian;Petcania
pagan_DESC;All praise the almighty Larpe!
larpe;Larpe
avidyape;Avidyape
badewe;Badewe
rinuda;Rinuda
kekapisye;Kekapisye
dime;Dime
arke;Arke
ene;Ene
kyuge;Kyuge
re;Re
rure;Rure
be;Be
qarpe;Qarpe
karke;Karke
qare;Qare
bide;Bide
tene;Tene
tahe;Tahe
qide;Qide
rare;Rare
tiroumas;Tiroumas
wareina;Wareina
etaetlrirna;Etaetlrirna
nereina;Nereina
surutlu;Surutlu
diwc;Diwc
laetule;Laetule
eruceina;Eruceina
ataetule;Ataetule
qavlqa;Qavlqa
bethee;Bethee
roza;Roza
karurga;Karurga
nosa;Nosèa
raura;Raura
karoza;Karoza
woza;Woza
toanuel;Toanuel
riunka;Riunka
lerule;Lerule
kerenat;Kerenat
wisayaka;Wisayaka
teteina;Teteina
qunutlu;Qunutlu
noza;Noza
rabiska;Ra'biska
arucelin;Arucelin
niselin;Niselin
taetlla;Taetlla
eslamel;Eslamel
lurutlu;Lurutlu
kedavaura;Kedavaura
ravenat;Ravenat
edrethee;Edrethee
tarelin;Tarelin
disabra;Disabra
n;Urikat
c_n;Astbarkat
PROV1258;Resran
arunics;Arunics
wiweina;Wiweina
abenat;Abenat
qisurga;Qisurga
roumas;Roumas
tunabra;Tunabra
beraura;Beraura
akerolas;Akerolas
ekaterl;Eka'terl
kunurga;Kunurga
ebereina;Ebereina
laraura;Laraura
tisolas;Tisolas
tutlu;Tutlu
tisethee;Tisethee
leina;Leina
wiunka;Wiunka
bareina;Bareina
ravolas;Ravolas
tucilip;Tucilip
eruel;Eruel
edavadi;Edavadi
bucurga;Bucurga
lerolas;Lerolas
niunmas;Niunmas
sucule;Sucule
riradi;Riradi
rurelin;Rurelin
kadi;Kadi
wuel;Wuel
erucurga;Erucurga
kerutlu;Kerutlu
wuradi;Wuradi
adureina;Adureina
taetolas;Taetolas
rosa;Rosèa
atucelin;Atucelin
tavics;Tavics
rarolas;Rarolas
tarics;Tarics
bunelin;Bunelin
toza;Toza
etule;Etule
nutlu;Nutlu
sisrakavl;Sisra'kavl
davabra;Davabra
asmaura;Asmaura
terilip;Terilip
wurenat;Wurenat
qirutlu;Qirutlu
rics;Rics
diradi;Diradi
terule;Terule
derurga;Derurga
wiwolas;Wiwolas
waka;Waka
c_waka;Wa'ka
teraura;Teraura
nucadi;Nucadi
turga;Turga
rirelin;Rirelin
koumas;Koumas
durutlu;Durutlu
kiskabavl;Kiska'bavl
lurnattoann;Lurnat'toann
roanule;Roanule
teruel;Teruel
qarerna;Qa'rerna
aradi;Aradi
asutlu;Asutlu
suradi;Suradi
kunics;Kunics
rarelin;Rarelin
savelin;Savelin
warule;Warule
rerutlu;Rerutlu
wutlu;Wutlu
dule;Dule
wururga;Wururga
aqoza;Aqoza
wiund;Wiund
tavuel;Tavuel
lurelin;Lurelin
tarilip;Tarilip
weina;Weina
nuel;Nuel
daetoza;Daetoza
rakarl;Ra'karl
daruel;Daruel
diunmas;Diunmas
edaveina;Edaveina
elaetule;Elaetule
tucics;Tucics
burutlu;Burutlu
ehlics;Ehlics
disuel;Disuel
tucenat;Tucenat
tavolas;Tavolas
daetutlu;Daetutlu
telin;Telin
bata;Bata
c_bata;Ba'ta
riruel;Riruel
navabra;Navabra
adavaura;Adavaura
siwenat;Siwenat
sutlu;Sutlu
daetolas;Daetolas
niwaura;Niwaura
erucenat;Erucenat
wisutlu;Wisutlu
baetolas;Baetolas
akerenat;Akerenat
kerkakucl;Kerka'kucl
kureina;Kureina
davlterka;Davlterka
daetilip;Daetilip
toumas;Toumas
bunenat;Bunenat
lavurga;Lavurga
tisutlu;Tisutlu
siseina;Siseina
tethee;Tethee
babra;Babra
davelin;Davelin
deroza;Deroza
dadavutlu;Dadavutlu
savoza;Savoza
runule;Runule
tenat;Tenat
ejoanuel;Ejoanuel
wiroumas;Wiroumas
raeturga;Raeturga
qiwilip;Qiwilip
kirics;Kirics
kunelin;Kunelin
tadi;Tadi
kavaura;Kavaura
b_ekeruel;Ekeruel
b_saetolas;Saetolas
b_tucabra;Tucabra
b_rilip;Rilip
b_warurga;Warurga
b_wabra;Wabra
b_kenat;Kenat
waetutlu;Waetutlu
b_sarics;Sarics
b_derelin;Derelin
b_kunolas;Kunolas
b_tiund;Tiund
b_sisuel;Sisuel
b_qucurga;Qucurga
b_taraura;Taraura
dirurga;Dirurga
b_turuel;Turuel
b_biwlnerka;Biwlnerka
b_asiwilip;Asiwilip
b_dehlelin;Dehlelin
b_redradi;Redradi
b_tayaka;Tayaka
b_qelin;Qelin
ravics;Ravics
b_tolas;Tolas
b_lavutlu;Lavutlu
b_kiroza;Kiroza
b_bavilip;Bavilip
b_kurutlu;Kurutlu
b_seraura;Seraura
b_dadradurl;Dadra'durl
b_laetutlu;Laetutlu
woumas;Woumas
b_toanadi;Toanadi
b_rerayaka;Rerayaka
b_qamarolas;Qamarolas
b_kilip;Kilip
b_liwuel;Liwuel
b_toanoza;Toanoza
b_riwule;Riwule
b_edavelin;Edavelin
niwilip;Niwilip
b_berenat;Berenat
b_qedrelin;Qedrelin
b_radi;Radi
b_bucelin;Bucelin
b_neruel;Neruel
b_wadi;Wadi
qunilip;Qunilip
b_ataetenat;Ataetenat
b_raetelin;Raetelin
b_kucurga;Kucurga
b_tabra;Tabra
b_kurenat;Kurenat
b_duraura;Duraura
b_natoal;Na'toal
b_buceina;Buceina
erenat;Erenat
b_waetelin;Waetelin
b_suruel;Suruel
b_sarelin;Sarelin
b_avlilip;Avlilip
b_sunadi;Sunadi
b_laetuel;Laetuel
b_doanadi;Doanadi
b_siund;Siund
seina;Seina
b_rurenat;Rurenat
b_dutlu;Dutlu
b_arucics;Arucics
b_qaetenat;Qaetenat
b_loanka;Loanka
b_rarabra;Rarabra
b_koza;Koza
ebucule;Ebucule
b_raruel;Raruel
b_dosa;Dosèa
b_rurllirna;Rurllirna
b_qiroumas;Qiroumas
b_kirkadavl;Kirka'davl
b_lisutlu;Lisutlu
b_qunoza;Qunoza
b_lakiul;La'kiul
nunule;Nunule
b_wekerilip;Wekerilip
b_aduraura;Aduraura
b_waetolas;Waetolas
b_butlu;Butlu
b_nirenat;Nirenat
b_tosa;Tosèa
b_arelin;Arelin
ruroza;Ruroza
b_nerenat;Nerenat
b_tirethee;Tirethee
b_qurga;Qurga
b_waqaetl;Wa'qaetl
b_qerilip;Qerilip
b_aluel;Aluel
b_runoza;Runoza
liwaura;Liwaura
b_sarule;Sarule
b_wurolas;Wurolas
b_serurga;Serurga
b_rarutlu;Rarutlu
b_nurelin;Nurelin
b_reradi;Reradi
b_tarutlu;Tarutlu
b_dolas;Dolas
tiunmas;Tiunmas
b_lerilip;Lerilip
b_tunuel;Tunuel
b_kurga;Kurga
b_rucadi;Rucadi
b_rurga;Rurga
b_tunutlu;Tunutlu
b_tirenat;Tirenat
s;Cripraei
c_s;Roras
PROV773;Canfi
b_sics;Sics
b_esmurga;Esmurga
b_siunka;Siunka
b_berutlu;Berutlu
b_terutlu;Terutlu
b_tilip;Tilip
b_kaveina;Kaveina
b_qurilip;Qurilip
kiwelin;Kiwelin
b_evlolas;Evlolas
b_taetelin;Taetelin
b_kiwolas;Kiwolas
b_karucadi;Karucadi
b_terolas;Terolas
b_lisosa;Lisosèa
b_rucilip;Rucilip
kucutlu;Kucutlu
b_benat;Benat
b_liunka;Liunka
b_wuraura;Wuraura
b_qunabra;Qunabra
b_serenat;Serenat
b_delin;Delin
b_wirls;Wirls
b_rolas;Rolas
keruel;Keruel
b_adavilip;Adavilip
b_savenat;Savenat
b_riuncs;Riuncs
b_tirelin;Tirelin
b_tiwics;Tiwics
b_ekerolas;Ekerolas
b_adrolas;Adrolas
b_ekerabra;Ekerabra
taetule;Taetule
b_kosa;Kosèa
b_amarics;Amarics
b_ekerule;Ekerule
b_avlelin;Avlelin
b_kavolas;Kavolas
b_kiradi;Kiradi
b_erule;Erule
b_atule;Atule
lucaura;Lucaura
b_riwoza;Riwoza
b_runutlu;Runutlu
b_edavurga;Edavurga
b_elaetoza;Elaetoza
b_narabra;Narabra
b_turabra;Turabra
b_qisenat;Qisenat
runenat;Runenat
b_kerabra;Kerabra
b_ravule;Ravule
b_roanics;Roanics
b_baetule;Baetule
b_kurilip;Kurilip
b_darolas;Darolas
b_akerule;Akerule
b_emarolas;Emarolas
solas;Solas
b_burenat;Burenat
b_luel;Luel
b_kolas;Kolas
b_wiwabra;Wiwabra
b_rethee;Rethee
b_reroza;Reroza
b_siwelin;Siwelin
b_sarabra;Sarabra
nirurga;Nirurga
b_kerratirna;Kerra'tirna
b_bunule;Bunule
b_asiwics;Asiwics
b_surics;Surics
b_rurutlu;Rurutlu
b_kutlu;Kutlu
b_nenat;Nenat
nunelin;Nunelin
b_reruel;Reruel
b_kerosa;Kerosèa
b_qerosa;Qerosèa
b_liunel;Liunel
b_wolas;Wolas
b_nerolas;Nerolas
b_saka;Sa'ka
edurelin;Edurelin
b_esmoza;Esmoza
b_adrabra;Adrabra
b_sunutlu;Sunutlu
