"#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x";;;;;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;unused;SPANISH;;;;;;;;;x
kahet;Kahet;;;;;;;;;;;;;x
eastern_raider;Eastern Raider;;;;;;;;;;;;;x
eastern;Eastern;;;;;;;;;;;;;x
druchi;Druchi;;;;;;;;;;;;;x
selli;Selli;;;;;;;;;;;;;x
baylin;Baylin;;;;;;;;;;;;;x
kiroth;Kiroth;;;;;;;;;;;;;x
kir-ko;Kir-ko;;;;;;;;;;;;;x
kirian;Kirian;;;;;;;;;;;;;x
niefiemen_culture_group;Niefhiemen;;;;;;;;;;;;;x
bastian_culture_group;Bastian;;;;;;;;;;;;;x
avas;Avas;;;;;;;;;;;;;x
avasian_culture_group;Avasian;;;;;;;;;;;;;x
estazi_culture_group;Estaziland;;;;;;;;;;;;;x
old_casian;Old Casian;;;;;;;;;;;;;x
casian;Casian;;;;;;;;;;;;;x
niefhiem_forrest;Holzfäller;;;;;;;;;;;;;x
niefhiem_lake;Segler;;;;;;;;;;;;;x
niefhiem_mountain;Bergmann;;;;;;;;;;;;;x
bastian_rural;Paysan;;;;;;;;;;;;;x
bastian_noble;Egalite;;;;;;;;;;;;;x
bastia_city;Viller;;;;;;;;;;;;;x
northern_avasian;Avasian;;;;;;;;;;;;;x
swamp_avasian;Swamplander;;;;;;;;;;;;;x
bastian_avas;Docklanders;;;;;;;;;;;;;x
estazi_culture1;Tartaglia;;;;;;;;;;;;;x
estazi_culture2;Sicilia;;;;;;;;;;;;;x
estazi_culture3;Zucca;;;;;;;;;;;;;x
estazi_culture4;Storto;;;;;;;;;;;;;x
estazi_culture5;Bertuzzi;;;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;;;x
