"#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x";;;;;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;unused;SPANISH;;;;;;;;;x
estazi_faith;Small Gods;;;;;;;;;;;;;x
estazi_faith_DESC;The Estazi faith is named the small gods, holding that there is no overall controlling diety but instead millions of gods that rule over every facet of life in Estazi-Land. These gods personify everything from doors to the good fortune and families. There Estazi faith is a large supporter of the useful arts and owns their own few colleges to educate the poor;;;;;;;;;;;;;x
wealth;God of Wealth;;;;;;;;;;;;;x
Conquista;Conquista;;;;;;;;;;;;;x
estazi_bible;Index of Gods;;;;;;;;;;;;;x
padre;Padre;;;;;;;;;;;;;x
profit;God of Profit;;;;;;;;;;;;;x
calm-seas;God of Calm Seas;;;;;;;;;;;;;x
fortune;God of Fortune;;;;;;;;;;;;;x
slander;God of Slander;;;;;;;;;;;;;x
misfortune;God of Misfortune;;;;;;;;;;;;;x
STAT_PIETY_luck;Luck;;;;;;;;;;;;;x
STAT_PIETY_DESC_luck;Luck is the good fortune shown that smiles down on the Estazilanders that show proper deferance and respect of the small gods;;;;;;;;;;;;;x
MONTHLY_PIETY_luck;luck gain;;;;;;;;;;;;;x
estazi_religion_group;Estazi;;;;;;;;;;;;;x
hankism;Laws of Hank;;;;;;;;;;;;;x
hankism_DESC;Little is known of the mysterious Eastern Raider faith. They refer to their deity as Hank Bradly which is described as a human male of normal size, and it is said that their advanced Metallurgy comes as a gift from their god  ;;;;;;;;;;;;;x
devastate;Devastate;;;;;;;;;;;;;x
hank_bible;Hank's code;;;;;;;;;;;;;x
hank_priest;Shaman;;;;;;;;;;;;;x
hank_bradley;Hank Bradley;;;;;;;;;;;;;x
beoing;Boeing;;;;;;;;;;;;;x
STAT_PIETY_hank_piety;Power;;;;;;;;;;;;;x
STAT_PIETY_DESC_hank_piety;Power is respected by the faithful of the east;;;;;;;;;;;;;x
